Genome	map00010	map00020	map00030	map00040	map00051	map00052	map00053	map00061	map00130	map00220	map00230	map00240	map00250	map00260	map00261	map00270	map00280	map00290	map00300	map00310	map00311	map00330	map00332	map00340	map00350	map00360	map00362	map00380	map00400	map00401	map00430	map00440	map00450	map00460	map00470	map00480	map00500	map00510	map00513	map00520	map00521	map00523	map00525	map00540	map00541	map00550	map00552	map00561	map00562	map00564	map00566	map00600	map00620	map00621	map00622	map00625	map00626	map00630	map00640	map00643	map00650	map00660	map00670	map00680	map00710	map00720	map00730	map00740	map00750	map00760	map00770	map00780	map00790	map00791	map00860	map00900	map00909	map00910	map00920	map00940	map00970	map00984	map00997	map00998	map00999	map01040	map01053	map01055	map01100	map01110	map01120	map01200	map01210	map01212	map01220	map01230	map01232	map01240	map01250	map01310	map01320	rn00010	rn00020	rn00030	rn00040	rn00051	rn00052	rn00053	rn00061	rn00130	rn00220	rn00230	rn00240	rn00250	rn00260	rn00261	rn00270	rn00280	rn00290	rn00300	rn00310	rn00311	rn00330	rn00332	rn00340	rn00350	rn00360	rn00362	rn00380	rn00400	rn00401	rn00430	rn00440	rn00450	rn00460	rn00470	rn00480	rn00500	rn00510	rn00513	rn00520	rn00521	rn00523	rn00525	rn00540	rn00541	rn00550	rn00552	rn00561	rn00562	rn00564	rn00566	rn00600	rn00620	rn00621	rn00622	rn00625	rn00626	rn00630	rn00640	rn00643	rn00650	rn00660	rn00670	rn00680	rn00710	rn00720	rn00730	rn00740	rn00750	rn00760	rn00770	rn00780	rn00790	rn00791	rn00860	rn00900	rn00909	rn00910	rn00920	rn00940	rn00970	rn00984	rn00997	rn00998	rn00999	rn01040	rn01053	rn01055	rn01100	rn01110	rn01120	rn01200	rn01210	rn01212	rn01220	rn01230	rn01232	rn01240	rn01250	rn01310	rn01320
GCF_000284295.1	3	1	7	7	2	3	1	0	0	4	18	6	10	9	1	10	1	2	8	0	0	4	2	9	1	2	2	0	15	0	0	0	1	0	6	7	2	0	0	13	7	5	4	0	7	7	1	9	3	1	1	0	8	1	1	1	0	9	0	1	2	0	6	3	4	4	3	12	0	4	4	4	5	0	17	9	0	5	1	0	5	2	0	0	0	0	0	2	202	92	48	16	6	0	3	42	9	54	16	2	1	3	1	7	7	2	3	1	0	0	4	18	6	10	9	1	10	1	2	8	0	0	4	2	9	1	2	2	0	15	0	0	0	1	0	6	7	2	0	0	13	7	5	4	0	7	7	1	9	3	1	1	0	8	1	1	1	0	9	0	1	2	0	6	3	4	4	3	12	0	4	4	4	5	0	17	9	0	5	1	0	5	2	0	0	0	0	0	2	202	92	48	16	6	0	3	42	9	54	16	2	1
GCF_000284315.1	2	1	4	2	1	2	0	2	0	3	14	5	6	5	1	7	0	1	4	0	0	3	2	4	0	0	0	0	9	0	0	0	0	0	6	0	2	0	0	10	6	6	2	2	11	4	0	1	1	2	1	0	5	0	0	0	0	2	0	0	0	0	7	2	4	5	4	5	0	2	3	3	3	0	11	8	0	1	1	0	4	0	2	1	0	2	0	1	123	71	23	11	5	2	0	30	6	33	18	0	0	2	1	4	2	1	2	0	2	0	3	14	5	6	5	1	7	0	1	4	0	0	3	2	4	0	0	0	0	9	0	0	0	0	0	6	0	2	0	0	10	6	6	2	2	11	4	0	1	1	2	1	0	5	0	0	0	0	2	0	0	0	0	7	2	4	5	4	5	0	2	3	3	3	0	11	8	0	1	1	0	4	0	2	1	0	2	0	1	123	71	23	11	5	2	0	30	6	33	18	0	0
GCF_000284335.1	3	0	4	2	1	2	0	0	0	1	3	2	3	4	1	5	0	0	4	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	8	0	0	0	0	2	4	0	2	1	0	1	0	2	0	0	0	0	2	1	0	3	0	2	2	5	2	1	1	0	0	3	0	1	0	0	6	0	2	1	0	5	0	0	1	0	0	0	0	56	22	15	8	2	0	0	12	4	5	8	0	0	3	0	4	2	1	2	0	0	0	1	3	2	3	4	1	5	0	0	4	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	8	0	0	0	0	2	4	0	2	1	0	1	0	2	0	0	0	0	2	1	0	3	0	2	2	5	2	1	1	0	0	3	0	1	0	0	6	0	2	1	0	5	0	0	1	0	0	0	0	56	22	15	8	2	0	0	12	4	5	8	0	0
GCF_000284515.1	3	3	7	4	1	6	0	0	3	4	13	6	7	10	3	9	1	1	7	0	0	4	2	5	1	0	0	0	10	0	0	2	0	0	7	2	4	0	0	13	1	1	1	0	4	7	1	8	1	3	2	0	8	0	0	0	0	7	2	0	2	0	5	3	7	6	7	8	0	4	4	0	4	0	10	8	0	2	2	0	5	0	0	1	0	0	0	1	163	84	41	19	6	0	1	38	5	44	12	0	1	3	3	7	4	1	6	0	0	3	4	13	6	7	10	3	9	1	1	7	0	0	4	2	5	1	0	0	0	10	0	0	2	0	0	7	2	4	0	0	13	1	1	1	0	4	7	1	8	1	3	2	0	8	0	0	0	0	7	2	0	2	0	5	3	7	6	7	8	0	4	4	0	4	0	10	8	0	2	2	0	5	0	0	1	0	0	0	1	163	84	41	19	6	0	1	38	5	44	12	0	1
GCF_000284615.1	4	5	4	2	1	1	1	0	1	3	13	9	6	9	1	12	1	2	7	0	0	7	2	4	0	0	0	0	11	1	0	2	1	1	6	5	2	0	0	9	3	3	2	2	6	5	1	3	1	2	1	0	12	0	0	0	0	10	5	0	3	0	8	7	6	7	4	7	2	2	3	4	9	0	12	7	0	7	3	0	4	0	0	1	0	0	0	1	190	83	55	32	8	0	0	40	8	46	12	5	1	4	5	4	2	1	1	1	0	1	3	13	9	6	9	1	12	1	2	7	0	0	7	2	4	0	0	0	0	11	1	0	2	1	1	6	5	2	0	0	9	3	3	2	2	6	5	1	3	1	2	1	0	12	0	0	0	0	10	5	0	3	0	8	7	6	7	4	7	2	2	3	4	9	0	12	7	0	7	3	0	4	0	0	1	0	0	0	1	190	83	55	32	8	0	0	40	8	46	12	5	1
GCF_000284635.1	2	0	3	2	1	1	0	0	0	2	11	6	6	6	1	5	0	1	5	0	0	3	2	3	0	0	0	0	12	1	0	1	1	0	5	0	1	0	0	8	2	2	2	2	7	4	0	1	0	3	1	0	4	0	0	0	0	3	3	0	0	0	6	4	4	4	3	5	0	1	3	0	2	0	7	8	0	1	1	0	4	0	0	2	0	0	0	1	111	67	28	14	4	0	0	33	4	26	12	0	0	2	0	3	2	1	1	0	0	0	2	11	6	6	6	1	5	0	1	5	0	0	3	2	3	0	0	0	0	12	1	0	1	1	0	5	0	1	0	0	8	2	2	2	2	7	4	0	1	0	3	1	0	4	0	0	0	0	3	3	0	0	0	6	4	4	4	3	5	0	1	3	0	2	0	7	8	0	1	1	0	4	0	0	2	0	0	0	1	111	67	28	14	4	0	0	33	4	26	12	0	0
GCF_000297055.2	3	1	3	2	2	1	0	0	1	3	12	6	6	7	1	6	0	2	7	0	0	2	2	4	0	0	0	0	11	0	0	0	1	0	6	2	4	0	0	11	5	5	2	2	13	5	1	1	1	1	1	0	7	0	0	0	0	3	3	0	1	0	7	4	7	5	3	4	1	2	3	4	4	0	10	8	0	6	1	0	4	0	1	1	0	0	0	1	146	73	38	19	6	0	0	37	6	37	20	5	0	3	1	3	2	2	1	0	0	1	3	12	6	6	7	1	6	0	2	7	0	0	2	2	4	0	0	0	0	11	0	0	0	1	0	6	2	4	0	0	11	5	5	2	2	13	5	1	1	1	1	1	0	7	0	0	0	0	3	3	0	1	0	7	4	7	5	3	4	1	2	3	4	4	0	10	8	0	6	1	0	4	0	1	1	0	0	0	1	146	73	38	19	6	0	0	37	6	37	20	5	0
GCF_000298875.1	3	0	7	7	2	3	2	0	3	2	12	8	6	4	2	7	1	1	4	0	0	2	2	5	0	0	0	0	4	0	0	0	0	0	6	0	1	0	0	9	3	3	2	0	6	5	1	2	2	3	1	0	3	0	0	0	0	1	0	0	1	0	4	1	7	1	5	2	0	3	3	0	0	0	0	6	0	1	1	0	5	0	0	1	0	0	0	1	101	51	18	11	4	0	0	28	5	24	11	0	0	3	0	7	7	2	3	2	0	3	2	12	8	6	4	2	7	1	1	4	0	0	2	2	5	0	0	0	0	4	0	0	0	0	0	6	0	1	0	0	9	3	3	2	0	6	5	1	2	2	3	1	0	3	0	0	0	0	1	0	0	1	0	4	1	7	1	5	2	0	3	3	0	0	0	0	6	0	1	1	0	5	0	0	1	0	0	0	1	101	51	18	11	4	0	0	28	5	24	11	0	0
GCF_000299335.2	4	2	3	2	1	1	0	0	1	8	13	6	7	7	1	13	1	1	7	0	0	4	2	5	0	2	2	0	9	1	0	0	0	1	6	4	1	0	0	6	0	0	0	2	3	5	1	2	1	2	1	1	9	2	2	0	0	6	5	0	2	0	6	6	5	5	4	6	2	2	3	4	6	4	14	8	0	9	3	0	4	0	0	1	0	0	0	0	170	77	52	21	5	0	2	38	7	44	7	6	1	4	2	3	2	1	1	0	0	1	8	13	6	7	7	1	13	1	1	7	0	0	4	2	5	0	2	2	0	9	1	0	0	0	1	6	4	1	0	0	6	0	0	0	2	3	5	1	2	1	2	1	1	9	2	2	0	0	6	5	0	2	0	6	6	5	5	4	6	2	2	3	4	6	4	14	8	0	9	3	0	4	0	0	1	0	0	0	0	170	77	52	21	5	0	2	38	7	44	7	6	1
GCF_000299355.1	4	1	4	1	1	0	0	0	0	3	4	8	3	6	2	8	0	2	5	0	0	4	2	4	0	0	0	0	11	0	0	0	1	0	5	3	2	0	0	11	0	0	0	0	1	7	1	0	1	2	0	0	6	0	0	0	0	5	0	0	0	0	8	5	6	5	5	5	0	2	3	5	3	0	7	7	0	1	1	0	5	0	0	1	0	0	0	0	120	55	28	17	7	0	0	35	4	36	10	0	0	4	1	4	1	1	0	0	0	0	3	4	8	3	6	2	8	0	2	5	0	0	4	2	4	0	0	0	0	11	0	0	0	1	0	5	3	2	0	0	11	0	0	0	0	1	7	1	0	1	2	0	0	6	0	0	0	0	5	0	0	0	0	8	5	6	5	5	5	0	2	3	5	3	0	7	7	0	1	1	0	5	0	0	1	0	0	0	0	120	55	28	17	7	0	0	35	4	36	10	0	0
GCF_000300005.1	4	1	3	2	1	1	1	0	0	6	16	8	6	8	1	10	3	3	8	0	0	4	2	5	1	2	0	0	10	1	0	0	1	2	6	3	1	0	0	6	0	0	0	2	3	5	1	2	1	2	1	0	9	0	0	1	0	7	4	0	4	0	6	7	5	4	3	7	2	3	3	4	6	3	14	8	0	11	3	0	4	0	0	1	0	0	0	0	178	76	53	23	8	0	1	39	8	43	7	7	1	4	1	3	2	1	1	1	0	0	6	16	8	6	8	1	10	3	3	8	0	0	4	2	5	1	2	0	0	10	1	0	0	1	2	6	3	1	0	0	6	0	0	0	2	3	5	1	2	1	2	1	0	9	0	0	1	0	7	4	0	4	0	6	7	5	4	3	7	2	3	3	4	6	3	14	8	0	11	3	0	4	0	0	1	0	0	0	0	178	76	53	23	8	0	1	39	8	43	7	7	1
GCF_000300235.2	5	5	9	5	2	2	1	0	0	6	17	8	10	12	1	7	2	1	7	0	0	6	2	8	1	2	3	0	11	1	0	0	0	0	5	4	1	0	0	7	6	5	2	2	10	5	1	3	3	1	1	0	10	1	1	1	0	12	2	1	2	0	9	5	8	8	5	7	1	3	3	1	5	0	20	7	0	10	2	0	4	0	0	1	0	0	0	1	198	87	63	27	5	0	3	42	10	50	14	5	1	5	5	9	5	2	2	1	0	0	6	17	8	10	12	1	7	2	1	7	0	0	6	2	8	1	2	3	0	11	1	0	0	0	0	5	4	1	0	0	7	6	5	2	2	10	5	1	3	3	1	1	0	10	1	1	1	0	12	2	1	2	0	9	5	8	8	5	7	1	3	3	1	5	0	20	7	0	10	2	0	4	0	0	1	0	0	0	1	198	87	63	27	5	0	3	42	10	50	14	5	1
GCF_000300455.3	6	3	7	8	4	2	5	0	6	3	14	7	7	13	3	13	1	2	9	0	0	8	2	8	0	0	0	0	14	1	0	0	1	0	8	7	1	0	0	12	3	3	2	2	10	7	2	4	1	3	0	0	12	0	0	0	0	18	2	0	2	0	8	15	7	7	6	6	3	5	4	5	3	0	16	8	0	7	5	0	5	0	0	1	0	0	2	1	237	101	65	34	8	0	0	45	8	60	18	5	1	6	3	7	8	4	2	5	0	6	3	14	7	7	13	3	13	1	2	9	0	0	8	2	8	0	0	0	0	14	1	0	0	1	0	8	7	1	0	0	12	3	3	2	2	10	7	2	4	1	3	0	0	12	0	0	0	0	18	2	0	2	0	8	15	7	7	6	6	3	5	4	5	3	0	16	8	0	7	5	0	5	0	0	1	0	0	2	1	237	101	65	34	8	0	0	45	8	60	18	5	1
GCF_000305935.1	2	0	4	2	1	2	0	0	0	4	10	6	8	5	1	6	0	1	6	0	0	6	2	8	0	0	0	0	14	1	0	0	1	0	7	0	1	0	0	8	0	0	0	0	2	6	1	1	1	0	1	0	5	0	0	0	0	10	0	0	1	3	2	4	4	1	5	5	0	1	3	0	3	0	11	7	0	3	1	0	4	0	0	1	0	0	0	0	122	66	26	13	5	0	0	39	4	31	8	0	0	2	0	4	2	1	2	0	0	0	4	10	6	8	5	1	6	0	1	6	0	0	6	2	8	0	0	0	0	14	1	0	0	1	0	7	0	1	0	0	8	0	0	0	0	2	6	1	1	1	0	1	0	5	0	0	0	0	10	0	0	1	3	2	4	4	1	5	5	0	1	3	0	3	0	11	7	0	3	1	0	4	0	0	1	0	0	0	0	122	66	26	13	5	0	0	39	4	31	8	0	0
GCF_000306675.2	4	2	4	2	2	2	0	0	0	2	13	3	6	7	1	10	2	3	4	0	0	4	2	3	0	0	0	0	10	0	0	0	0	0	7	3	1	0	0	9	4	4	2	2	10	7	1	4	1	2	1	3	5	0	0	0	0	3	2	0	1	0	4	1	5	3	5	5	1	1	3	3	4	0	11	5	0	1	2	0	5	0	0	1	0	0	0	1	133	69	24	13	6	0	0	33	5	36	15	0	1	4	2	4	2	2	2	0	0	0	2	13	3	6	7	1	10	2	3	4	0	0	4	2	3	0	0	0	0	10	0	0	0	0	0	7	3	1	0	0	9	4	4	2	2	10	7	1	4	1	2	1	3	5	0	0	0	0	3	2	0	1	0	4	1	5	3	5	5	1	1	3	3	4	0	11	5	0	1	2	0	5	0	0	1	0	0	0	1	133	69	24	13	6	0	0	33	5	36	15	0	1
GCF_000306785.1	4	3	6	5	3	3	2	0	2	5	15	8	9	13	1	10	4	1	7	0	0	3	2	7	1	2	1	0	15	1	0	0	1	1	7	4	4	0	0	14	6	4	3	0	7	7	1	9	3	2	1	0	11	0	0	1	0	15	2	1	3	1	15	6	4	12	5	9	0	4	3	0	5	0	15	8	0	7	1	0	4	0	0	0	0	0	1	2	212	95	58	29	4	0	1	44	8	47	17	2	1	4	3	6	5	3	3	2	0	2	5	15	8	9	13	1	10	4	1	7	0	0	3	2	7	1	2	1	0	15	1	0	0	1	1	7	4	4	0	0	14	6	4	3	0	7	7	1	9	3	2	1	0	11	0	0	1	0	15	2	1	3	1	15	6	4	12	5	9	0	4	3	0	5	0	15	8	0	7	1	0	4	0	0	0	0	0	1	2	212	95	58	29	4	0	1	44	8	47	17	2	1
GCF_000307105.1	2	3	3	2	4	1	0	0	0	3	8	4	8	7	1	7	3	1	4	0	0	6	2	6	0	3	0	0	16	1	0	0	1	0	6	0	1	0	0	3	1	1	1	2	7	4	0	1	1	1	1	0	8	0	0	0	0	9	2	0	1	0	10	6	5	10	4	6	1	2	3	3	4	0	12	13	0	3	2	0	5	0	0	2	0	0	0	1	148	74	38	23	4	0	0	39	2	37	9	0	0	2	3	3	2	4	1	0	0	0	3	8	4	8	7	1	7	3	1	4	0	0	6	2	6	0	3	0	0	16	1	0	0	1	0	6	0	1	0	0	3	1	1	1	2	7	4	0	1	1	1	1	0	8	0	0	0	0	9	2	0	1	0	10	6	5	10	4	6	1	2	3	3	4	0	12	13	0	3	2	0	5	0	0	2	0	0	0	1	148	74	38	23	4	0	0	39	2	37	9	0	0
GCF_000307165.1	1	1	5	7	1	3	1	0	0	2	13	7	5	6	2	9	1	1	5	0	0	2	2	5	0	0	0	0	10	0	0	0	0	0	5	1	1	0	0	10	0	0	0	0	2	5	0	2	1	2	1	0	3	0	0	0	0	0	1	0	1	0	5	1	4	4	6	4	0	3	4	0	2	0	1	6	0	0	2	0	5	0	0	1	0	0	0	0	109	54	19	10	6	0	0	36	6	27	8	0	0	1	1	5	7	1	3	1	0	0	2	13	7	5	6	2	9	1	1	5	0	0	2	2	5	0	0	0	0	10	0	0	0	0	0	5	1	1	0	0	10	0	0	0	0	2	5	0	2	1	2	1	0	3	0	0	0	0	0	1	0	1	0	5	1	4	4	6	4	0	3	4	0	2	0	1	6	0	0	2	0	5	0	0	1	0	0	0	0	109	54	19	10	6	0	0	36	6	27	8	0	0
GCF_000307585.2	5	1	5	6	2	5	0	0	0	4	9	7	8	6	2	6	0	1	6	0	0	4	2	3	0	0	0	0	11	0	0	0	0	0	6	0	2	0	0	13	0	0	0	0	3	7	1	9	1	1	2	0	9	0	0	0	0	3	1	0	2	0	5	2	10	3	4	5	0	1	3	0	3	0	10	6	0	3	2	0	5	0	0	1	0	0	0	0	131	64	35	17	6	0	0	35	6	30	11	0	1	5	1	5	6	2	5	0	0	0	4	9	7	8	6	2	6	0	1	6	0	0	4	2	3	0	0	0	0	11	0	0	0	0	0	6	0	2	0	0	13	0	0	0	0	3	7	1	9	1	1	2	0	9	0	0	0	0	3	1	0	2	0	5	2	10	3	4	5	0	1	3	0	3	0	10	6	0	3	2	0	5	0	0	1	0	0	0	0	131	64	35	17	6	0	0	35	6	30	11	0	1
GCF_000309885.1	5	3	5	2	1	2	0	0	0	2	14	5	6	8	1	6	0	1	5	0	0	5	2	4	1	5	1	0	12	1	0	0	0	0	4	2	1	0	0	9	1	1	1	0	2	5	1	2	1	0	0	0	9	1	1	0	0	7	1	0	2	0	6	4	7	5	4	5	0	2	3	0	2	0	14	8	0	1	1	0	5	0	0	0	0	0	0	0	135	75	40	18	5	0	2	33	6	32	9	0	1	5	3	5	2	1	2	0	0	0	2	14	5	6	8	1	6	0	1	5	0	0	5	2	4	1	5	1	0	12	1	0	0	0	0	4	2	1	0	0	9	1	1	1	0	2	5	1	2	1	0	0	0	9	1	1	0	0	7	1	0	2	0	6	4	7	5	4	5	0	2	3	0	2	0	14	8	0	1	1	0	5	0	0	0	0	0	0	0	135	75	40	18	5	0	2	33	6	32	9	0	1
GCF_000313175.2	4	2	3	2	2	2	0	0	0	2	13	3	6	6	1	10	2	3	4	0	0	4	2	3	0	0	0	0	10	0	0	0	0	0	6	3	1	0	0	9	4	4	2	2	10	6	1	3	1	2	1	4	5	0	0	0	0	2	2	0	1	0	4	1	5	3	5	5	1	1	3	3	5	0	13	5	0	1	2	0	5	0	0	1	0	0	0	1	134	67	23	11	6	0	0	33	5	36	15	0	1	4	2	3	2	2	2	0	0	0	2	13	3	6	6	1	10	2	3	4	0	0	4	2	3	0	0	0	0	10	0	0	0	0	0	6	3	1	0	0	9	4	4	2	2	10	6	1	3	1	2	1	4	5	0	0	0	0	2	2	0	1	0	4	1	5	3	5	5	1	1	3	3	5	0	13	5	0	1	2	0	5	0	0	1	0	0	0	1	134	67	23	11	6	0	0	33	5	36	15	0	1
GCF_000316515.1	4	1	4	1	2	0	0	0	2	4	12	5	8	4	0	9	0	1	3	0	0	6	2	4	0	0	0	0	10	0	0	0	1	1	6	3	2	0	0	8	4	4	2	1	7	4	0	0	1	0	0	0	6	0	0	0	0	6	0	0	0	0	7	5	7	5	2	8	1	2	3	3	7	0	16	7	0	5	3	0	4	0	0	2	0	0	1	1	147	78	31	18	3	0	0	31	6	39	13	0	1	4	1	4	1	2	0	0	0	2	4	12	5	8	4	0	9	0	1	3	0	0	6	2	4	0	0	0	0	10	0	0	0	1	1	6	3	2	0	0	8	4	4	2	1	7	4	0	0	1	0	0	0	6	0	0	0	0	6	0	0	0	0	7	5	7	5	2	8	1	2	3	3	7	0	16	7	0	5	3	0	4	0	0	2	0	0	1	1	147	78	31	18	3	0	0	31	6	39	13	0	1
GCF_000317105.1	5	3	5	1	4	0	0	0	3	3	12	5	6	4	0	5	0	1	3	0	0	5	3	4	0	0	0	0	12	0	0	0	0	0	6	4	4	0	0	10	5	5	2	1	11	4	0	1	2	1	0	0	5	0	0	0	0	3	3	0	0	0	7	5	6	5	3	7	1	2	4	3	4	0	19	9	0	1	2	0	5	0	1	1	0	0	1	1	157	88	30	17	4	0	0	32	7	44	17	0	1	5	3	5	1	4	0	0	0	3	3	12	5	6	4	0	5	0	1	3	0	0	5	3	4	0	0	0	0	12	0	0	0	0	0	6	4	4	0	0	10	5	5	2	1	11	4	0	1	2	1	0	0	5	0	0	0	0	3	3	0	0	0	7	5	6	5	3	7	1	2	4	3	4	0	19	9	0	1	2	0	5	0	1	1	0	0	1	1	157	88	30	17	4	0	0	32	7	44	17	0	1
GCF_000317125.1	5	3	5	2	6	0	0	0	3	5	14	4	8	8	0	10	0	1	6	0	0	6	3	5	1	1	0	0	18	1	0	0	1	1	8	6	4	0	0	9	7	7	3	1	16	4	0	5	1	1	0	0	9	0	0	0	0	7	2	1	0	0	8	7	5	8	3	8	2	2	4	4	6	0	15	8	0	4	4	0	5	0	1	3	0	0	2	2	192	103	43	24	5	0	0	46	7	46	21	0	1	5	3	5	2	6	0	0	0	3	5	14	4	8	8	0	10	0	1	6	0	0	6	3	5	1	1	0	0	18	1	0	0	1	1	8	6	4	0	0	9	7	7	3	1	16	4	0	5	1	1	0	0	9	0	0	0	0	7	2	1	0	0	8	7	5	8	3	8	2	2	4	4	6	0	15	8	0	4	4	0	5	0	1	3	0	0	2	2	192	103	43	24	5	0	0	46	7	46	21	0	1
GCF_000317305.3	2	4	5	3	1	1	0	1	1	9	16	7	12	8	1	6	3	2	7	0	0	3	2	6	0	2	2	0	14	1	0	0	0	1	6	3	2	0	0	13	7	6	4	0	8	5	1	4	2	2	1	0	11	2	2	1	0	13	4	0	3	0	5	4	3	8	5	8	0	4	3	4	4	2	16	12	0	11	1	0	4	2	3	0	0	1	0	2	187	97	53	22	5	1	3	46	9	47	15	4	1	2	4	5	3	1	1	0	1	1	9	16	7	12	8	1	6	3	2	7	0	0	3	2	6	0	2	2	0	14	1	0	0	0	1	6	3	2	0	0	13	7	6	4	0	8	5	1	4	2	2	1	0	11	2	2	1	0	13	4	0	3	0	5	4	3	8	5	8	0	4	3	4	4	2	16	12	0	11	1	0	4	2	3	0	0	1	0	2	187	97	53	22	5	1	3	46	9	47	15	4	1
GCF_000317475.1	4	2	5	1	4	3	0	0	3	6	12	6	7	4	0	13	0	1	3	0	0	6	3	5	0	1	0	0	13	0	0	0	0	0	8	3	3	0	0	12	4	4	2	1	8	6	0	1	1	1	0	0	5	0	0	0	0	4	2	0	0	0	7	5	5	5	3	9	1	2	4	4	7	2	20	9	0	6	5	0	5	0	1	4	0	0	1	1	181	97	38	19	4	0	0	38	8	48	17	4	1	4	2	5	1	4	3	0	0	3	6	12	6	7	4	0	13	0	1	3	0	0	6	3	5	0	1	0	0	13	0	0	0	0	0	8	3	3	0	0	12	4	4	2	1	8	6	0	1	1	1	0	0	5	0	0	0	0	4	2	0	0	0	7	5	5	5	3	9	1	2	4	4	7	2	20	9	0	6	5	0	5	0	1	4	0	0	1	1	181	97	38	19	4	0	0	38	8	48	17	4	1
GCF_000317515.1	4	1	5	1	3	3	0	0	3	4	11	7	7	4	0	11	0	2	4	0	0	7	3	4	0	0	0	0	12	0	0	0	1	0	6	4	3	0	0	10	4	4	2	1	9	4	0	3	1	1	0	0	7	0	0	0	0	3	1	0	0	0	7	5	4	4	3	8	1	2	4	3	6	0	18	9	0	4	6	0	5	0	1	5	0	0	1	1	167	94	35	18	6	0	0	40	8	45	17	2	1	4	1	5	1	3	3	0	0	3	4	11	7	7	4	0	11	0	2	4	0	0	7	3	4	0	0	0	0	12	0	0	0	1	0	6	4	3	0	0	10	4	4	2	1	9	4	0	3	1	1	0	0	7	0	0	0	0	3	1	0	0	0	7	5	4	4	3	8	1	2	4	3	6	0	18	9	0	4	6	0	5	0	1	5	0	0	1	1	167	94	35	18	6	0	0	40	8	45	17	2	1
GCF_000317575.1	3	0	5	1	3	0	0	0	2	3	13	7	6	5	0	6	0	1	3	0	0	6	3	4	1	0	0	0	16	1	0	0	0	0	6	3	3	0	0	7	4	4	2	1	7	4	0	1	1	1	0	0	6	0	0	0	0	2	1	1	0	0	9	5	4	5	4	8	1	2	3	3	5	0	17	9	0	1	2	0	5	0	1	1	0	0	0	1	155	84	28	13	4	0	0	35	8	42	12	0	1	3	0	5	1	3	0	0	0	2	3	13	7	6	5	0	6	0	1	3	0	0	6	3	4	1	0	0	0	16	1	0	0	0	0	6	3	3	0	0	7	4	4	2	1	7	4	0	1	1	1	0	0	6	0	0	0	0	2	1	1	0	0	9	5	4	5	4	8	1	2	3	3	5	0	17	9	0	1	2	0	5	0	1	1	0	0	0	1	155	84	28	13	4	0	0	35	8	42	12	0	1
GCF_000317615.1	1	0	4	1	2	0	0	0	1	5	13	6	8	4	0	5	0	1	3	0	0	6	3	5	0	0	0	0	10	0	0	0	0	1	6	2	2	0	0	5	4	4	2	1	5	4	0	1	1	1	0	0	2	0	0	0	0	4	0	0	0	0	7	3	4	3	3	7	1	2	3	3	4	0	16	8	0	5	3	0	5	0	1	1	0	0	0	1	133	76	25	11	4	0	0	32	7	40	9	0	2	1	0	4	1	2	0	0	0	1	5	13	6	8	4	0	5	0	1	3	0	0	6	3	5	0	0	0	0	10	0	0	0	0	1	6	2	2	0	0	5	4	4	2	1	5	4	0	1	1	1	0	0	2	0	0	0	0	4	0	0	0	0	7	3	4	3	3	7	1	2	3	3	4	0	16	8	0	5	3	0	5	0	1	1	0	0	0	1	133	76	25	11	4	0	0	32	7	40	9	0	2
GCF_000317675.1	4	1	5	1	3	0	0	0	2	4	13	4	7	4	0	9	0	1	3	0	0	7	3	4	0	0	0	0	11	0	0	0	0	0	6	3	1	0	0	7	4	4	2	1	6	4	0	1	1	1	0	0	5	0	0	0	0	4	0	0	0	0	7	4	5	5	2	6	1	2	3	4	4	0	19	9	0	2	3	0	5	0	1	2	0	0	1	1	145	85	29	15	4	0	0	34	6	41	11	0	1	4	1	5	1	3	0	0	0	2	4	13	4	7	4	0	9	0	1	3	0	0	7	3	4	0	0	0	0	11	0	0	0	0	0	6	3	1	0	0	7	4	4	2	1	6	4	0	1	1	1	0	0	5	0	0	0	0	4	0	0	0	0	7	4	5	5	2	6	1	2	3	4	4	0	19	9	0	2	3	0	5	0	1	2	0	0	1	1	145	85	29	15	4	0	0	34	6	41	11	0	1
GCF_000317695.1	4	2	5	1	4	2	0	0	4	3	12	4	6	4	0	6	0	1	4	0	0	4	3	4	0	1	0	0	11	0	0	0	0	0	6	4	3	0	0	9	3	3	1	1	7	4	0	3	1	1	0	0	6	0	0	0	0	2	2	0	0	0	6	5	5	5	3	7	1	2	5	3	5	0	21	9	0	1	3	0	5	0	1	2	0	0	2	1	157	89	32	17	5	0	0	33	6	50	14	0	1	4	2	5	1	4	2	0	0	4	3	12	4	6	4	0	6	0	1	4	0	0	4	3	4	0	1	0	0	11	0	0	0	0	0	6	4	3	0	0	9	3	3	1	1	7	4	0	3	1	1	0	0	6	0	0	0	0	2	2	0	0	0	6	5	5	5	3	7	1	2	5	3	5	0	21	9	0	1	3	0	5	0	1	2	0	0	2	1	157	89	32	17	5	0	0	33	6	50	14	0	1
