Genome	map00010	map00030	map00040	map00230	map00240	map00250	map00470	map00520	map00541	map00550	map00620	map00670	map00710	map00720	map00770	map00900	map00970	map01100	map01110	map01120	map01200	map01230	map01232	map01240	map01250	rn00010	rn00030	rn00040	rn00230	rn00240	rn00250	rn00470	rn00520	rn00541	rn00550	rn00620	rn00670	rn00710	rn00720	rn00770	rn00900	rn00970	rn01100	rn01110	rn01120	rn01200	rn01230	rn01232	rn01240	rn01250
GCF_000934545.1	4	4	2	14	6	7	6	9	9	5	10	7	5	10	3	8	4	154	77	43	22	39	6	43	14	4	4	2	14	6	7	6	9	9	5	10	7	5	10	3	8	4	154	77	43	22	39	6	43	14
GCF_000934605.2	4	8	2	19	9	8	6	10	10	7	10	7	6	6	5	11	4	228	92	72	37	42	9	54	17	4	8	2	19	9	8	6	10	10	7	10	7	6	6	5	11	4	228	92	72	37	42	9	54	17
GCF_000941055.1	3	5	4	10	6	6	6	8	6	5	8	7	7	5	3	3	5	127	67	33	13	37	7	30	13	3	5	4	10	6	6	6	8	6	5	8	7	7	5	3	3	5	127	67	33	13	37	7	30	13
GCF_000953015.1	4	6	2	13	6	6	6	8	9	5	5	6	5	4	3	8	4	142	74	40	21	38	6	40	14	4	6	2	13	6	6	6	8	9	5	5	6	5	4	3	8	4	142	74	40	21	38	6	40	14
GCF_000953635.1	4	4	2	15	7	6	5	8	10	4	8	3	6	5	3	2	5	141	62	32	20	27	8	45	14	4	4	2	15	7	6	5	8	10	4	8	3	6	5	3	2	5	141	62	32	20	27	8	45	14
GCF_000953655.1	3	7	2	8	6	6	5	7	6	4	7	3	6	4	3	2	5	124	50	32	18	28	7	40	10	3	7	2	8	6	6	5	7	6	4	7	3	6	4	3	2	5	124	50	32	18	28	7	40	10
GCF_000953715.1	2	6	3	11	5	3	5	9	5	3	4	3	5	1	3	7	5	96	55	17	9	28	5	15	12	2	6	3	11	5	3	5	9	5	3	4	3	5	1	3	7	5	96	55	17	9	28	5	15	12
GCF_000959365.1	4	9	8	17	8	11	8	12	14	7	12	9	7	6	5	8	5	277	116	93	41	54	8	64	21	4	9	8	17	8	11	8	12	14	7	12	9	7	6	5	8	5	277	116	93	41	54	8	64	21
GCF_000959545.1	4	6	8	19	7	13	7	17	18	6	14	8	6	7	6	9	4	270	113	88	39	50	8	62	29	4	6	8	19	7	13	7	17	18	6	14	8	6	7	6	9	4	270	113	88	39	50	8	62	29
GCF_000960975.1	5	9	16	17	10	8	6	12	8	5	10	9	6	6	3	7	4	206	85	58	23	42	9	47	16	5	9	16	17	10	8	6	12	8	5	10	9	6	6	3	7	4	206	85	58	23	42	9	47	16
GCF_000960995.1	4	6	5	17	7	7	7	10	11	6	12	10	6	7	5	9	5	248	102	76	35	50	8	59	17	4	6	5	17	7	7	7	10	11	6	12	10	6	7	5	9	5	248	102	76	35	50	8	59	17
GCF_000961095.1	3	6	9	12	12	8	7	18	12	7	5	8	6	4	3	8	4	207	105	42	14	50	5	52	23	3	6	9	12	12	8	7	18	12	7	5	8	6	4	3	8	4	207	105	42	14	50	5	52	23
GCF_000963865.1	4	7	3	9	6	6	6	6	5	6	7	7	7	6	3	3	5	129	70	35	17	33	5	38	9	4	7	3	9	6	6	6	6	5	6	7	7	7	6	3	3	5	129	70	35	17	33	5	38	9
GCF_000968055.1	3	4	5	6	3	4	0	5	2	1	0	3	4	1	2	6	5	46	22	8	7	11	8	10	4	3	4	5	6	3	4	0	5	2	1	0	3	4	1	2	6	5	46	22	8	7	11	8	10	4
GCF_000972785.3	4	7	2	20	8	9	6	10	8	7	10	7	6	6	5	10	4	222	89	72	36	43	10	52	15	4	7	2	20	8	9	6	10	8	7	10	7	6	6	5	10	4	222	89	72	36	43	10	52	15
GCF_000973085.1	3	4	4	6	4	4	6	8	2	5	1	2	5	2	3	4	5	47	17	10	8	9	9	10	7	3	4	4	6	4	4	6	8	2	5	1	2	5	2	3	4	5	47	17	10	8	9	9	10	7
GCF_000973105.1	4	5	10	9	6	6	6	7	6	5	11	7	7	7	3	3	5	143	69	40	17	38	6	35	12	4	5	10	9	6	6	6	7	6	5	11	7	7	7	3	3	5	143	69	40	17	38	6	35	12
GCF_000973625.1	4	3	2	13	6	6	6	8	13	5	5	7	4	5	5	9	4	144	77	33	17	36	6	39	17	4	3	2	13	6	6	6	8	13	5	5	7	4	5	5	9	4	144	77	33	17	36	6	39	17
GCF_000973705.1	4	4	3	10	8	9	8	11	4	7	6	6	7	4	3	7	6	128	58	29	15	32	6	32	10	4	4	3	10	8	9	8	11	4	7	6	6	7	4	3	7	6	128	58	29	15	32	6	32	10
GCF_000973725.1	6	6	4	10	7	5	7	10	11	6	7	6	7	6	3	7	6	161	77	36	16	34	7	41	17	6	6	4	10	7	5	7	10	11	6	7	6	7	6	3	7	6	161	77	36	16	34	7	41	17
GCF_000974425.1	1	6	9	12	5	7	4	8	8	4	7	6	5	4	3	5	5	145	68	35	13	35	7	39	14	1	6	9	12	5	7	4	8	8	4	7	6	5	4	3	5	5	145	68	35	13	35	7	39	14
GCF_000980835.1	2	5	2	14	7	7	6	9	4	5	4	5	3	4	3	8	4	124	72	25	12	38	9	36	9	2	5	2	14	7	7	6	9	4	5	4	5	3	4	3	8	4	124	72	25	12	38	9	36	9
GCF_000981585.1	2	7	11	13	10	8	8	16	8	11	3	6	4	2	3	8	5	172	88	41	12	43	6	44	18	2	7	11	13	10	8	8	16	8	11	3	6	4	2	3	8	5	172	88	41	12	43	6	44	18
GCF_000981765.1	4	3	2	13	5	6	5	7	3	5	5	6	5	4	3	7	5	140	68	36	18	35	5	42	8	4	3	2	13	5	6	5	7	3	5	5	6	5	4	3	7	5	140	68	36	18	35	5	42	8
GCF_001006005.1	6	12	12	18	7	8	9	15	16	7	12	8	10	6	4	8	5	266	119	72	33	50	11	59	24	6	12	12	18	7	8	9	15	16	7	12	8	10	6	4	8	5	266	119	72	33	50	11	59	24
GCF_001007935.1	4	5	2	14	6	6	5	9	6	5	7	6	7	6	3	7	4	141	75	36	20	39	7	39	12	4	5	2	14	6	6	5	9	6	5	7	6	7	6	3	7	4	141	75	36	20	39	7	39	12
GCF_001017655.1	4	3	4	9	5	7	5	8	3	5	3	7	5	4	2	3	4	106	48	22	11	32	4	24	10	4	3	4	9	5	7	5	8	3	5	3	7	5	4	2	3	4	106	48	22	11	32	4	24	10
GCF_001020955.1	4	2	2	12	6	6	5	7	4	5	8	7	6	6	3	8	4	143	74	34	15	34	6	43	9	4	2	2	12	6	6	5	7	4	5	8	7	6	6	3	8	4	143	74	34	15	34	6	43	9
GCF_001020985.1	2	5	2	13	7	7	6	9	4	5	5	7	3	6	3	8	4	136	68	29	14	41	8	36	9	2	5	2	13	7	7	6	9	4	5	5	7	3	6	3	8	4	136	68	29	14	41	8	36	9
GCF_001021025.1	2	6	2	14	7	7	5	11	6	5	4	7	2	5	3	8	4	143	75	28	13	40	10	40	13	2	6	2	14	7	7	5	11	6	5	4	7	2	5	3	8	4	143	75	28	13	40	10	40	13
GCF_001021065.1	2	5	2	12	7	7	6	11	5	5	7	5	3	4	3	8	4	135	73	35	17	39	8	32	12	2	5	2	12	7	7	6	11	5	5	7	5	3	4	3	8	4	135	73	35	17	39	8	32	12
GCF_001021975.1	2	5	1	17	5	8	6	5	5	5	8	5	6	5	3	2	6	131	63	32	16	29	10	44	9	2	5	1	17	5	8	6	5	5	5	8	5	6	5	3	2	6	131	63	32	16	29	10	44	9
GCF_001022135.1	7	6	14	14	7	7	8	16	11	7	12	7	9	5	4	8	5	255	110	69	34	51	8	61	20	7	6	14	14	7	7	8	16	11	7	12	7	9	5	4	8	5	255	110	69	34	51	8	61	20
GCF_001025155.1	2	5	4	11	9	7	5	8	2	4	2	5	4	3	2	7	3	92	46	20	10	32	5	19	8	2	5	4	11	9	7	5	8	2	4	2	5	4	3	2	7	3	92	46	20	10	32	5	19	8
GCF_001025175.1	2	4	2	12	7	7	5	12	3	5	2	5	4	3	2	6	3	87	43	18	9	30	6	17	10	2	4	2	12	7	7	5	12	3	5	2	5	4	3	2	6	3	87	43	18	9	30	6	17	10
GCF_001025195.1	2	6	4	11	8	7	5	8	2	5	2	5	4	3	3	6	3	93	47	21	12	31	5	19	9	2	6	4	11	8	7	5	8	2	5	2	5	4	3	3	6	3	93	47	21	12	31	5	19	9
GCF_001025215.1	2	6	4	11	8	7	5	10	4	5	2	5	4	3	3	6	3	98	50	21	12	32	5	18	11	2	6	4	11	8	7	5	10	4	5	2	5	4	3	3	6	3	98	50	21	12	32	5	18	11
GCF_001027025.1	5	4	1	4	3	6	5	11	6	6	5	3	10	2	3	7	5	84	36	21	14	15	5	9	15	5	4	1	4	3	6	5	11	6	6	5	3	10	2	3	7	5	84	36	21	14	15	5	9	15
GCF_001027285.1	5	8	2	17	7	9	11	12	5	10	7	7	7	7	5	7	7	197	96	50	26	46	9	58	14	5	8	2	17	7	9	11	12	5	10	7	7	7	7	5	7	7	197	96	50	26	46	9	58	14
GCF_001028625.1	5	4	2	13	8	6	8	6	2	7	8	7	8	7	3	7	4	139	66	34	21	36	8	41	6	5	4	2	13	8	6	8	6	2	7	8	7	8	7	3	7	4	139	66	34	21	36	8	41	6
GCF_001028665.1	4	7	8	19	6	13	9	14	17	7	13	8	6	6	6	10	4	274	118	90	39	52	8	62	25	4	7	8	19	6	13	9	14	17	7	13	8	6	6	6	10	4	274	118	90	39	52	8	62	25
GCF_001029105.3	4	8	2	19	8	7	7	9	9	8	10	7	6	6	5	10	4	225	91	74	38	43	9	52	15	4	8	2	19	8	7	7	9	9	8	10	7	6	6	5	10	4	225	91	74	38	43	9	52	15
GCF_001038625.1	6	4	10	10	7	11	8	13	10	7	12	9	11	6	3	7	6	176	81	51	28	44	6	39	17	6	4	10	10	7	11	8	13	10	7	12	9	11	6	3	7	6	176	81	51	28	44	6	39	17
GCF_001040945.1	4	6	4	15	6	6	7	8	8	6	11	6	6	6	3	9	4	192	86	63	29	41	7	49	13	4	6	4	15	6	6	7	8	8	6	11	6	6	6	3	9	4	192	86	63	29	41	7	49	13
GCF_001042595.1	2	6	4	12	9	7	5	9	3	5	2	5	4	3	3	6	3	96	47	22	12	32	6	19	10	2	6	4	12	9	7	5	9	3	5	2	5	4	3	3	6	3	96	47	22	12	32	6	19	10
GCF_001042655.1	2	6	4	12	8	7	4	10	3	4	1	4	4	3	3	5	3	76	35	18	12	19	6	16	10	2	6	4	12	8	7	4	10	3	4	1	4	4	3	3	5	3	76	35	18	12	19	6	16	10
GCF_001042675.1	2	4	3	11	8	7	4	9	2	3	1	2	4	2	3	5	4	61	22	9	7	6	6	19	9	2	4	3	11	8	7	4	9	2	3	1	2	4	2	3	5	4	61	22	9	7	6	6	19	9
GCF_001050115.1	4	5	8	12	6	6	6	11	4	6	7	4	7	3	4	8	5	154	84	44	21	39	4	42	10	4	5	8	12	6	6	6	11	4	6	7	4	7	3	4	8	5	154	84	44	21	39	4	42	10
GCF_001050475.1	3	5	6	13	6	6	6	8	2	6	3	6	4	4	3	6	5	144	75	33	14	38	5	43	8	3	5	6	13	6	6	6	8	2	6	3	6	4	4	3	6	5	144	75	33	14	38	5	43	8
GCF_001077815.2	7	4	2	14	8	6	7	8	8	6	11	7	7	9	3	7	4	153	70	49	24	32	8	42	12	7	4	2	14	8	6	7	8	8	6	11	7	7	9	3	7	4	153	70	49	24	32	8	42	12
GCF_001078055.1	3	4	8	11	6	5	5	9	6	4	8	5	6	6	3	7	5	138	66	35	13	32	7	36	12	3	4	8	11	6	5	5	9	6	4	8	5	6	6	3	7	5	138	66	35	13	32	7	36	12
GCF_001187845.1	4	9	5	15	8	9	6	10	11	5	8	7	8	6	3	9	4	180	85	51	26	38	8	39	17	4	9	5	15	8	9	6	10	11	5	8	7	8	6	3	9	4	180	85	51	26	38	8	39	17
GCF_001189295.1	5	7	2	18	7	8	8	9	6	9	9	5	7	6	3	4	5	162	74	46	24	32	9	48	11	5	7	2	18	7	8	8	9	6	9	9	5	7	6	3	4	5	162	74	46	24	32	9	48	11
GCF_001263175.1	4	4	2	12	6	8	7	8	3	7	8	3	7	5	3	6	6	125	56	31	20	23	6	41	9	4	4	2	12	6	8	7	8	3	7	8	3	7	5	3	6	6	125	56	31	20	23	6	41	9
GCF_001263205.1	4	6	1	19	6	8	7	7	4	7	11	4	8	6	4	4	5	170	86	48	24	43	7	49	9	4	6	1	19	6	8	7	7	4	7	11	4	8	6	4	4	5	170	86	48	24	43	7	49	9
GCF_001267435.1	6	3	5	10	5	10	7	8	5	6	9	5	9	4	3	8	4	140	77	38	19	41	3	35	11	6	3	5	10	5	10	7	8	5	6	9	5	9	4	3	8	4	140	77	38	19	41	3	35	11
GCF_001267885.1	5	6	5	19	7	13	6	16	7	6	11	9	8	9	3	11	4	215	95	63	25	44	11	47	18	5	6	5	19	7	13	6	16	7	6	11	9	8	9	3	11	4	215	95	63	25	44	11	47	18
GCF_001267925.1	5	5	6	16	7	6	6	10	12	5	8	7	6	6	4	9	4	181	81	52	26	39	8	44	16	5	5	6	16	7	6	6	10	12	5	8	7	6	6	4	9	4	181	81	52	26	39	8	44	16
GCF_001274875.1	1	3	1	4	2	2	0	0	0	0	0	2	3	0	2	5	5	19	9	4	4	4	5	5	0	1	3	1	4	2	2	0	0	0	0	0	2	3	0	2	5	5	19	9	4	4	4	5	5	0
GCF_001277175.1	6	6	7	15	7	8	8	11	7	7	10	8	7	6	4	9	5	223	102	64	29	44	8	56	15	6	6	7	15	7	8	8	11	7	7	10	8	7	6	4	9	5	223	102	64	29	44	8	56	15
GCF_001277195.1	6	6	7	16	7	8	8	12	10	7	10	8	7	6	4	9	5	228	105	62	27	43	9	56	18	6	6	7	16	7	8	8	12	10	7	10	8	7	6	4	9	5	228	105	62	27	43	9	56	18
GCF_001277215.2	6	6	7	15	7	8	8	11	7	7	11	8	7	6	4	9	5	225	102	62	29	43	8	56	15	6	6	7	15	7	8	8	11	7	7	11	8	7	6	4	9	5	225	102	62	29	43	8	56	15
GCF_001277235.1	6	6	7	15	7	8	8	12	9	7	11	8	7	6	4	9	5	226	104	63	28	44	8	56	17	6	6	7	15	7	8	8	12	9	7	11	8	7	6	4	9	5	226	104	63	28	44	8	56	17
GCF_001277255.1	7	6	7	15	7	7	8	11	7	7	10	8	7	6	4	9	5	226	101	62	28	42	8	58	15	7	6	7	15	7	7	8	11	7	7	10	8	7	6	4	9	5	226	101	62	28	42	8	58	15
GCF_001277995.1	2	6	3	15	7	7	6	9	4	5	6	7	3	5	3	8	4	142	79	35	18	41	10	37	9	2	6	3	15	7	7	6	9	4	5	6	7	3	5	3	8	4	142	79	35	18	41	10	37	9
GCF_001278055.1	7	4	1	9	7	6	8	6	6	7	13	5	9	10	4	7	5	154	75	40	23	38	6	42	11	7	4	1	9	7	6	8	6	6	7	13	5	9	10	4	7	5	154	75	40	23	38	6	42	11
GCF_001281025.1	2	4	2	11	7	6	4	11	2	5	3	4	5	3	3	7	5	99	47	18	13	26	4	27	10	2	4	2	11	7	6	4	11	2	5	3	4	5	3	3	7	5	99	47	18	13	26	4	27	10
GCF_001281085.1	3	3	2	12	4	7	5	6	3	5	4	4	3	3	3	7	4	96	49	16	9	28	7	20	8	3	3	2	12	4	7	5	6	3	5	4	4	3	3	3	7	4	96	49	16	9	28	7	20	8
GCF_001294575.1	3	7	6	18	7	12	9	7	8	5	10	8	5	6	4	8	4	227	95	69	28	49	8	58	12	3	7	6	18	7	12	9	7	8	5	10	8	5	6	4	8	4	227	95	69	28	49	8	58	12
GCF_001298465.1	2	3	2	10	6	6	5	7	7	5	2	3	4	1	3	7	4	103	60	24	12	30	4	28	11	2	3	2	10	6	6	5	7	7	5	2	3	4	1	3	7	4	103	60	24	12	30	4	28	11
GCF_001302565.1	3	5	6	16	6	8	6	13	2	5	10	7	5	6	4	6	4	184	83	54	26	40	8	43	13	3	5	6	16	6	8	6	13	2	5	10	7	5	6	4	6	4	184	83	54	26	40	8	43	13
GCF_001305595.1	6	9	7	18	8	7	6	9	10	5	12	7	10	8	4	9	5	234	98	74	44	46	10	50	16	6	9	7	18	8	7	6	9	10	5	12	7	10	8	4	9	5	234	98	74	44	46	10	50	16
GCF_001314995.1	5	6	9	10	6	8	6	8	8	5	8	9	8	5	3	6	5	150	71	35	17	39	7	31	13	5	6	9	10	6	8	6	8	8	5	8	9	8	5	3	6	5	150	71	35	17	39	7	31	13
GCF_001399775.1	3	5	1	15	5	6	3	9	3	4	9	6	6	4	3	8	5	122	68	30	13	28	6	29	10	3	5	1	15	5	6	3	9	3	4	9	6	6	4	3	8	5	122	68	30	13	28	6	29	10
GCF_001402875.1	4	4	2	12	7	7	5	8	5	4	9	7	7	7	3	11	4	157	82	42	21	41	6	47	10	4	4	2	12	7	7	5	8	5	4	9	7	7	7	3	11	4	157	82	42	21	41	6	47	10
GCF_001414055.1	4	5	6	14	8	8	6	8	10	5	8	8	8	7	3	7	4	163	72	42	22	38	8	40	15	4	5	6	14	8	8	6	8	10	5	8	8	8	7	3	7	4	163	72	42	22	38	8	40	15
GCF_001421015.2	4	8	12	14	8	7	6	18	10	6	6	5	6	3	3	8	5	188	95	49	17	42	6	45	21	4	8	12	14	8	7	6	18	10	6	6	5	6	3	3	8	5	188	95	49	17	42	6	45	21
GCF_001431725.1	4	8	6	14	7	9	6	7	7	5	12	11	8	7	3	8	4	219	86	71	35	44	6	52	11	4	8	6	14	7	9	6	7	7	5	12	11	8	7	3	8	4	219	86	71	35	44	6	52	11
GCF_001442745.1	4	5	3	13	6	6	4	7	8	5	8	6	6	6	3	8	5	162	73	41	21	32	8	45	12	4	5	3	13	6	6	4	7	8	5	8	6	6	6	3	8	5	162	73	41	21	32	8	45	12
GCF_001442805.1	4	5	4	13	6	7	4	8	8	5	8	6	6	6	3	8	5	172	74	44	23	33	8	45	13	4	5	4	13	6	7	4	8	8	5	8	6	6	6	3	8	5	172	74	44	23	33	8	45	13
GCF_001443605.1	3	3	1	12	6	7	8	6	11	6	4	7	6	6	3	8	5	119	58	23	12	29	9	25	15	3	3	1	12	6	7	8	6	11	6	4	7	6	6	3	8	5	119	58	23	12	29	9	25	15
GCF_001444405.1	4	6	2	12	4	5	6	13	6	5	9	7	7	6	3	7	5	189	93	51	24	46	4	47	14	4	6	2	12	4	5	6	13	6	5	9	7	7	6	3	7	5	189	93	51	24	46	4	47	14
GCF_001444425.1	5	4	2	13	4	5	5	8	10	5	10	7	6	8	4	7	4	166	84	47	25	39	5	44	14	5	4	2	13	4	5	5	8	10	5	10	7	6	8	4	7	4	166	84	47	25	39	5	44	14
GCF_001444445.1	4	4	2	8	6	4	4	5	6	5	4	3	6	2	3	5	5	88	43	16	10	18	6	21	9	4	4	2	8	6	4	4	5	6	5	4	3	6	2	3	5	5	88	43	16	10	18	6	21	9
GCF_001455085.1	5	3	2	9	7	6	6	10	8	5	4	6	6	3	3	8	5	119	53	26	13	21	5	35	14	5	3	2	9	7	6	6	10	8	5	4	6	6	3	3	8	5	119	53	26	13	21	5	35	14
GCF_001455205.1	6	4	2	13	6	6	7	8	5	6	9	6	9	6	3	7	4	146	81	42	22	42	6	40	10	6	4	2	13	6	6	7	8	5	6	9	6	9	6	3	7	4	146	81	42	22	42	6	40	10
GCF_001456255.1	6	8	6	15	6	10	7	15	9	5	15	8	8	7	4	8	6	247	114	80	37	50	6	65	19	6	8	6	15	6	10	7	15	9	5	15	8	8	7	4	8	6	247	114	80	37	50	6	65	19
GCF_001456355.1	2	5	2	16	7	7	7	8	5	5	8	8	3	8	4	8	4	173	84	49	21	41	9	47	10	2	5	2	16	7	7	7	8	5	5	8	8	3	8	4	8	4	173	84	49	21	41	9	47	10
GCF_001457455.1	3	5	2	13	9	7	6	11	5	5	4	9	4	6	3	8	4	147	78	30	16	43	11	42	12	3	5	2	13	9	7	6	11	5	5	4	9	4	6	3	8	4	147	78	30	16	43	11	42	12
GCF_001457635.1	5	4	2	11	7	8	4	12	5	5	3	4	8	3	2	7	5	108	59	21	13	30	4	32	13	5	4	2	11	7	8	4	12	5	5	3	4	8	3	2	7	5	108	59	21	13	30	4	32	13
GCF_001465255.1	4	7	7	12	10	7	6	14	3	9	14	8	8	5	4	8	5	200	90	53	24	41	6	50	13	4	7	7	12	10	7	6	14	3	9	14	8	8	5	4	8	5	200	90	53	24	41	6	50	13
GCF_001465545.3	4	9	2	19	8	8	6	10	12	6	10	7	6	6	5	11	4	226	92	73	36	43	9	49	18	4	9	2	19	8	8	6	10	12	6	10	7	6	6	5	11	4	226	92	73	36	43	9	49	18
GCF_001465795.2	3	6	2	13	6	6	6	11	3	7	7	5	7	5	3	8	6	145	82	33	19	38	5	40	10	3	6	2	13	6	6	6	11	3	7	7	5	7	5	3	8	6	145	82	33	19	38	5	40	10
GCF_001483865.1	4	6	5	15	8	6	6	13	8	5	9	8	5	9	3	7	4	188	80	57	29	38	8	46	17	4	6	5	15	8	6	6	13	8	5	9	8	5	9	3	7	4	188	80	57	29	38	8	46	17
GCF_001484725.1	5	5	8	9	6	5	6	10	12	6	14	5	14	4	3	7	6	150	68	41	27	35	4	35	17	5	5	8	9	6	5	6	10	12	6	14	5	14	4	3	7	6	150	68	41	27	35	4	35	17
GCF_001499615.1	3	5	2	15	7	6	6	8	8	4	10	4	7	5	3	8	4	171	77	49	27	37	9	42	12	3	5	2	15	7	6	6	8	8	4	10	4	7	5	3	8	4	171	77	49	27	37	9	42	12
GCF_001507665.1	4	5	2	14	5	7	5	11	5	5	7	8	6	7	3	8	5	133	75	34	18	32	7	32	13	4	5	2	14	5	7	5	11	5	5	7	8	6	7	3	8	5	133	75	34	18	32	7	32	13
GCF_001509405.1	3	6	3	16	7	8	7	8	7	5	7	7	6	7	3	7	4	163	77	44	22	38	9	43	11	3	6	3	16	7	8	7	8	7	5	7	7	6	7	3	7	4	163	77	44	22	38	9	43	11
GCF_001513745.1	5	11	9	18	7	10	8	13	14	5	13	9	11	7	5	8	5	281	118	94	48	57	8	65	21	5	11	9	18	7	10	8	13	14	5	13	9	11	7	5	8	5	281	118	94	48	57	8	65	21
GCF_001523745.2	4	8	9	17	7	10	7	11	13	6	11	9	7	6	5	12	4	267	116	87	39	51	8	63	19	4	8	9	17	7	10	7	11	13	6	11	9	7	6	5	12	4	267	116	87	39	51	8	63	19
GCF_001524445.2	5	9	7	17	7	10	7	11	12	6	12	9	7	7	5	8	4	261	113	90	39	50	8	62	18	5	9	7	17	7	10	7	11	12	6	12	9	7	7	5	8	4	261	113	90	39	50	8	62	18
GCF_001535545.1	4	5	1	15	5	6	3	8	1	5	8	6	6	4	3	8	5	129	74	33	15	31	6	33	8	4	5	1	15	5	6	3	8	1	5	8	6	6	4	3	8	5	129	74	33	15	31	6	33	8
GCF_001543205.1	4	5	4	10	6	7	4	13	3	7	4	4	6	2	3	7	4	110	50	20	16	27	6	29	12	4	5	4	10	6	7	4	13	3	7	4	4	6	2	3	7	4	110	50	20	16	27	6	29	12
GCF_001543305.1	4	4	2	13	7	7	6	7	7	5	4	3	5	2	3	3	4	109	61	22	11	34	6	33	11	4	4	2	13	7	7	6	7	7	5	4	3	5	2	3	3	4	109	61	22	11	34	6	33	11
GCF_001543325.1	4	4	1	10	7	6	6	6	5	6	7	6	8	6	3	3	5	122	69	36	16	39	7	29	8	4	4	1	10	7	6	6	6	5	6	7	6	8	6	3	3	5	122	69	36	16	39	7	29	8
GCF_001553565.1	4	6	2	15	5	7	7	6	2	6	3	7	4	4	3	5	4	137	69	33	16	39	7	32	7	4	6	2	15	5	7	7	6	2	6	3	7	4	4	3	5	4	137	69	33	16	39	7	32	7
GCF_001553625.1	2	4	3	10	7	7	6	9	10	5	2	5	4	3	3	5	5	120	65	29	14	32	7	34	15	2	4	3	10	7	7	6	9	10	5	2	5	4	3	3	5	5	120	65	29	14	32	7	34	15
GCF_001553955.1	3	3	2	16	8	6	6	7	6	5	8	6	6	5	3	6	4	148	77	43	21	39	8	43	10	3	3	2	16	8	6	6	7	6	5	8	6	6	5	3	6	4	148	77	43	21	39	8	43	10
GCF_001558775.1	4	4	4	12	5	6	6	8	3	6	7	3	7	3	4	7	5	124	60	30	16	24	5	37	7	4	4	4	12	5	6	6	8	3	6	7	3	7	3	4	7	5	124	60	30	16	24	5	37	7
GCF_001559015.1	6	4	2	13	7	6	6	6	2	5	11	7	8	9	3	8	4	152	69	40	23	35	7	47	6	6	4	2	13	7	6	6	6	2	5	11	7	8	9	3	8	4	152	69	40	23	35	7	47	6
GCF_001561955.1	4	4	2	9	9	9	7	10	1	8	7	4	7	4	3	7	5	119	61	24	13	38	5	28	10	4	4	2	9	9	9	7	10	1	8	7	4	7	4	3	7	5	119	61	24	13	38	5	28	10
GCF_001564455.1	5	6	2	13	7	10	5	8	4	4	5	3	8	3	3	7	5	103	62	23	14	36	7	18	10	5	6	2	13	7	10	5	8	4	4	5	3	8	3	3	7	5	103	62	23	14	36	7	18	10
GCF_001579945.1	4	4	2	13	6	7	5	7	4	6	6	7	5	5	3	7	4	135	69	34	17	35	6	38	9	4	4	2	13	6	7	5	7	4	6	6	7	5	5	3	7	4	135	69	34	17	35	6	38	9
GCF_001584725.1	3	3	2	7	6	5	7	6	3	5	4	6	6	4	2	7	4	95	48	26	16	30	6	18	7	3	3	2	7	6	5	7	6	3	5	4	6	6	4	2	7	4	95	48	26	16	30	6	18	7
GCF_001586235.1	3	5	2	14	8	7	6	11	5	5	3	7	3	4	3	8	4	151	77	37	21	42	11	38	12	3	5	2	14	8	7	6	11	5	5	3	7	3	4	3	8	4	151	77	37	21	42	11	38	12
GCF_001586255.1	4	6	2	12	5	7	6	9	11	5	9	6	5	5	5	7	4	174	88	52	24	39	5	43	16	4	6	2	12	5	7	6	9	11	5	9	6	5	5	5	7	4	174	88	52	24	39	5	43	16
GCF_001587155.1	4	6	3	16	7	6	6	8	9	5	9	7	5	7	6	7	4	196	87	62	29	42	8	50	13	4	6	3	16	7	6	6	8	9	5	9	7	5	7	6	7	4	196	87	62	29	42	8	50	13
GCF_001590685.1	3	5	6	9	6	5	6	12	2	6	7	5	7	5	3	8	5	175	89	42	22	41	3	49	10	3	5	6	9	6	5	6	12	2	6	7	5	7	5	3	8	5	175	89	42	22	41	3	49	10
GCF_001594225.2	4	7	4	19	7	12	6	9	11	6	9	8	5	6	5	7	5	235	105	73	32	48	8	59	15	4	7	4	19	7	12	6	9	11	6	9	8	5	6	5	7	5	235	105	73	32	48	8	59	15
GCF_001602095.1	2	3	2	11	6	6	5	7	6	6	3	6	3	3	2	7	4	111	67	24	10	37	4	27	10	2	3	2	11	6	6	5	7	6	6	3	6	3	3	2	7	4	111	67	24	10	37	4	27	10
GCF_001606025.1	3	3	2	16	8	6	6	6	3	5	9	7	7	5	3	8	4	162	74	43	23	36	9	47	7	3	3	2	16	8	6	6	6	3	5	9	7	7	5	3	8	4	162	74	43	23	36	9	47	7
GCF_001610955.1	2	4	4	11	6	7	6	11	3	6	5	5	4	5	4	7	5	157	78	40	14	38	4	46	10	2	4	4	11	6	7	6	11	3	6	5	5	4	5	4	7	5	157	78	40	14	38	4	46	10
GCF_001611155.1	4	5	2	5	6	5	6	8	6	5	4	7	4	6	3	7	5	79	34	23	16	17	5	20	11	4	5	2	5	6	5	6	8	6	5	4	7	4	6	3	7	5	79	34	23	16	17	5	20	11
GCF_001611795.1	5	6	5	16	6	10	6	15	7	6	11	11	9	10	4	11	4	217	95	64	27	42	8	55	17	5	6	5	16	6	10	6	15	7	6	11	11	9	10	4	11	4	217	95	64	27	42	8	55	17
GCF_001611975.1	2	6	2	12	7	7	6	7	6	5	5	8	5	6	3	7	4	124	62	30	15	31	7	38	10	2	6	2	12	7	7	6	7	6	5	5	8	5	6	3	7	4	124	62	30	15	31	7	38	10
