Genome	map00010	map00030	map00040	map00051	map00220	map00230	map00240	map00250	map00260	map00270	map00300	map00400	map00470	map00520	map00541	map00550	map00562	map00564	map00620	map00630	map00670	map00710	map00720	map00730	map00740	map00760	map00770	map00860	map00900	map00910	map00970	map01100	map01110	map01120	map01200	map01210	map01230	map01232	map01240	map01250	rn00010	rn00030	rn00040	rn00051	rn00220	rn00230	rn00240	rn00250	rn00260	rn00270	rn00300	rn00400	rn00470	rn00520	rn00541	rn00550	rn00562	rn00564	rn00620	rn00630	rn00670	rn00710	rn00720	rn00730	rn00740	rn00760	rn00770	rn00860	rn00900	rn00910	rn00970	rn01100	rn01110	rn01120	rn01200	rn01210	rn01230	rn01232	rn01240	rn01250
GCF_000025605.1	3	4	2	2	2	14	5	7	6	6	5	9	6	7	9	5	1	0	3	5	5	4	4	5	5	2	3	10	7	2	4	124	71	30	16	4	31	6	37	13	3	4	2	2	2	14	5	7	6	6	5	9	6	7	9	5	1	0	3	5	5	4	4	5	5	2	3	10	7	2	4	124	71	30	16	4	31	6	37	13
GCF_000025645.1	5	6	7	1	3	10	6	9	6	6	6	11	7	14	7	8	1	1	6	3	5	8	3	5	5	0	3	8	6	4	4	133	69	34	15	5	36	5	29	16	5	6	7	1	3	10	6	9	6	6	6	11	7	14	7	8	1	1	6	3	5	8	3	5	5	0	3	8	6	4	4	133	69	34	15	5	36	5	29	16
GCF_000025705.1	5	4	2	2	6	13	6	7	7	8	8	10	6	9	12	5	1	1	10	7	7	8	7	4	4	2	3	11	8	6	4	154	83	48	25	9	43	6	39	17	5	4	2	2	6	13	6	7	7	8	8	10	6	9	12	5	1	1	10	7	7	8	7	4	4	2	3	11	8	6	4	154	83	48	25	9	43	6	39	17
GCF_000025725.1	5	3	2	4	2	13	7	7	6	8	6	12	9	10	10	7	1	2	9	4	6	7	7	5	6	2	4	13	7	3	5	149	75	35	17	5	37	8	42	16	5	3	2	4	2	13	7	7	6	8	6	12	9	10	10	7	1	2	9	4	6	7	7	5	6	2	4	13	7	3	5	149	75	35	17	5	37	8	42	16
GCF_000025885.1	6	3	2	1	1	12	9	7	6	6	5	1	8	7	6	7	1	2	16	2	4	11	4	3	5	0	3	2	6	2	5	113	48	25	17	3	20	8	20	10	6	3	2	1	1	12	9	7	6	6	5	1	8	7	6	7	1	2	16	2	4	11	4	3	5	0	3	2	6	2	5	113	48	25	17	3	20	8	20	10
GCF_000025905.1	4	4	6	3	6	11	8	6	7	5	4	10	5	10	7	5	1	2	5	6	6	6	6	5	5	1	3	9	7	6	4	135	68	32	14	5	32	8	36	14	4	4	6	3	6	11	8	6	7	5	4	10	5	10	7	5	1	2	5	6	6	6	6	5	5	1	3	9	7	6	4	135	68	32	14	5	32	8	36	14
GCF_000025925.1	4	4	7	3	3	9	6	8	8	9	6	9	6	7	10	5	2	1	6	7	7	7	5	4	6	1	4	7	6	3	5	133	72	31	16	5	39	6	27	14	4	4	7	3	3	9	6	8	8	9	6	9	6	7	10	5	2	1	6	7	7	7	5	4	6	1	4	7	6	3	5	133	72	31	16	5	39	6	27	14
GCF_000025945.1	3	4	3	3	2	8	6	6	4	3	3	12	6	7	10	5	2	2	5	4	4	6	3	5	6	1	3	10	6	1	5	123	63	22	13	3	30	4	36	13	3	4	3	3	2	8	6	6	4	3	3	12	6	7	10	5	2	2	5	4	4	6	3	5	6	1	3	10	6	1	5	123	63	22	13	3	30	4	36	13
GCF_000025965.1	4	4	2	1	3	14	6	6	8	8	7	12	6	8	9	5	1	1	9	10	7	7	9	5	5	2	3	13	10	7	4	189	83	60	27	5	40	6	43	14	4	4	2	1	3	14	6	6	8	8	7	12	6	8	9	5	1	1	9	10	7	7	9	5	5	2	3	13	10	7	4	189	83	60	27	5	40	6	43	14
GCF_000025985.1	4	6	4	2	2	10	7	6	8	9	6	8	6	11	14	4	1	1	8	4	9	7	5	5	8	2	3	9	6	2	5	152	77	31	15	5	37	7	36	19	4	6	4	2	2	10	7	6	8	9	6	8	6	11	14	4	1	1	8	4	9	7	5	5	8	2	3	9	6	2	5	152	77	31	15	5	37	7	36	19
GCF_000026085.1	4	7	2	1	1	16	5	6	12	13	9	14	6	9	3	6	1	3	10	5	5	7	4	3	9	2	3	11	7	1	6	184	84	48	26	6	43	8	47	9	4	7	2	1	1	16	5	6	12	13	9	14	6	9	3	6	1	3	10	5	5	7	4	3	9	2	3	11	7	1	6	184	84	48	26	6	43	8	47	9
GCF_000026185.1	5	4	4	2	4	17	7	6	8	11	7	16	6	12	8	6	2	3	9	3	7	7	6	5	6	4	4	10	8	3	5	190	89	46	17	5	42	10	46	16	5	4	4	2	4	17	7	6	8	11	7	16	6	12	8	6	2	3	9	3	7	7	6	5	6	4	4	10	8	3	5	190	89	46	17	5	42	10	46	16
GCF_000026745.1	2	4	3	1	1	11	7	6	6	7	4	5	4	12	5	5	1	1	2	2	5	5	3	3	2	2	4	0	6	1	5	99	45	18	13	3	22	4	23	13	2	4	3	1	1	11	7	6	6	7	4	5	4	12	5	5	1	1	2	2	5	5	3	3	2	2	4	0	6	1	5	99	45	18	13	3	22	4	23	13
GCF_000027145.1	4	11	5	2	2	13	6	6	7	12	7	11	6	9	6	5	2	2	5	2	2	11	3	1	2	5	4	11	11	1	5	137	80	35	21	6	45	5	32	11	4	11	5	2	2	13	6	6	7	12	7	11	6	9	6	5	2	2	5	2	2	11	3	1	2	5	4	11	11	1	5	137	80	35	21	6	45	5	32	11
GCF_000055785.1	4	8	5	1	7	17	8	10	12	11	7	10	6	6	4	5	1	2	13	16	9	8	7	5	7	3	3	9	7	9	4	206	87	69	38	8	47	9	46	8	4	8	5	1	7	17	8	10	12	11	7	10	6	6	4	5	1	2	13	16	9	8	7	5	7	3	3	9	7	9	4	206	87	69	38	8	47	9	46	8
GCF_000058485.1	3	5	2	3	7	15	7	10	9	11	8	15	7	13	7	8	2	0	11	12	10	6	10	5	7	4	3	14	10	9	4	185	89	55	25	6	48	9	48	17	3	5	2	3	7	15	7	10	9	11	8	15	7	13	7	8	2	0	11	12	10	6	10	5	7	4	3	14	10	9	4	185	89	55	25	6	48	9	48	17
GCF_000060345.1	4	5	3	3	2	9	7	5	8	7	6	11	6	8	7	6	1	2	6	3	7	7	6	2	5	2	3	12	3	2	5	140	69	36	14	5	36	6	40	13	4	5	3	3	2	9	7	5	8	7	6	11	6	8	7	6	1	2	6	3	7	7	6	2	5	2	3	12	3	2	5	140	69	36	14	5	36	6	40	13
GCF_000062885.1	4	7	5	3	4	17	5	8	15	17	6	18	7	11	5	6	3	2	10	15	14	5	11	6	14	4	3	15	9	8	4	242	108	69	33	5	50	8	60	13	4	7	5	3	4	17	5	8	15	17	6	18	7	11	5	6	3	2	10	15	14	5	11	6	14	4	3	15	9	8	4	242	108	69	33	5	50	8	60	13
GCF_000063585.1	4	4	2	2	0	10	8	8	6	11	7	8	8	12	8	7	1	1	9	1	6	9	4	7	7	2	3	5	7	2	6	129	59	28	16	4	29	6	32	14	4	4	2	2	0	10	8	8	6	11	7	8	8	12	8	7	1	1	9	1	6	9	4	7	7	2	3	5	7	2	6	129	59	28	16	4	29	6	32	14
GCF_000067205.1	4	3	4	1	5	14	4	5	8	8	7	11	5	8	8	5	1	2	9	8	6	6	6	4	6	3	4	12	9	6	4	174	81	55	25	5	38	6	44	13	4	3	4	1	5	14	4	5	8	8	7	11	5	8	8	5	1	2	9	8	6	6	6	4	6	3	4	12	9	6	4	174	81	55	25	5	38	6	44	13
GCF_000069185.1	3	5	2	1	4	16	7	7	8	10	7	14	7	11	5	5	2	2	8	10	8	5	7	4	6	4	4	15	8	7	4	182	85	55	24	4	41	9	47	13	3	5	2	1	4	16	7	7	8	10	7	14	7	11	5	5	2	2	8	10	8	5	7	4	6	4	4	15	8	7	4	182	85	55	24	4	41	9	47	13
GCF_000069225.1	2	6	5	2	5	16	6	7	7	7	6	11	8	11	6	8	1	1	3	3	5	3	3	3	5	3	3	7	6	2	4	126	68	28	13	4	35	8	31	13	2	6	5	2	5	16	6	7	7	7	6	11	8	11	6	8	1	1	3	3	5	3	3	3	5	3	3	7	6	2	4	126	68	28	13	4	35	8	31	13
GCF_000069965.1	5	6	4	1	2	14	6	7	11	8	8	15	8	11	8	5	1	3	11	9	7	7	6	4	6	4	4	13	8	3	5	199	95	52	26	5	42	8	54	15	5	6	4	1	2	14	6	7	11	8	8	15	8	11	8	5	1	3	11	9	7	7	6	4	6	4	4	13	8	3	5	199	95	52	26	5	42	8	54	15
GCF_000083545.1	7	7	2	1	9	15	7	10	18	9	6	11	6	11	12	5	2	1	11	18	7	10	8	7	6	3	5	19	10	7	4	214	99	55	35	4	44	8	52	18	7	7	2	1	9	15	7	10	18	9	6	11	6	11	12	5	2	1	11	18	7	10	8	7	6	3	5	19	10	7	4	214	99	55	35	4	44	8	52	18
GCF_000091125.1	4	5	3	2	4	13	5	6	7	7	6	10	6	7	4	5	1	2	8	7	10	7	8	4	7	2	3	16	7	5	4	161	73	50	26	4	37	7	44	9	4	5	3	2	4	13	5	6	7	7	6	10	6	7	4	5	1	2	8	7	10	7	8	4	7	2	3	16	7	5	4	161	73	50	26	4	37	7	44	9
GCF_000091305.1	4	6	4	2	7	17	7	11	13	11	7	14	5	13	5	6	3	1	9	13	12	5	11	5	7	4	4	16	11	9	4	202	91	61	20	5	43	9	51	13	4	6	4	2	7	17	7	11	13	11	7	14	5	13	5	6	3	1	9	13	12	5	11	5	7	4	4	16	11	9	4	202	91	61	20	5	43	9	51	13
GCF_000091325.1	4	6	3	4	2	14	7	6	10	9	7	14	6	15	12	5	1	3	9	5	7	7	5	3	9	2	3	10	7	8	5	194	88	52	26	5	43	8	51	21	4	6	3	4	2	14	7	6	10	9	7	14	6	15	12	5	1	3	9	5	7	7	5	3	9	2	3	10	7	8	5	194	88	52	26	5	43	8	51	21
GCF_000091545.1	4	5	1	3	2	15	5	6	7	8	4	10	3	9	2	5	1	0	10	4	6	6	5	3	5	2	3	12	8	1	5	126	69	32	14	5	28	6	30	9	4	5	1	3	2	15	5	6	7	8	4	10	3	9	2	5	1	0	10	4	6	6	5	3	5	2	3	12	8	1	5	126	69	32	14	5	28	6	30	9
GCF_000091785.1	3	6	3	2	2	14	7	7	5	1	4	10	6	8	7	4	3	3	8	4	4	7	6	3	6	3	3	7	2	2	5	139	58	36	21	1	27	8	45	11	3	6	3	2	2	14	7	7	5	1	4	10	6	8	7	4	3	3	8	4	4	7	6	3	6	3	3	7	2	2	5	139	58	36	21	1	27	8	45	11
GCF_000092025.1	5	9	8	3	7	16	8	11	15	9	6	12	7	11	11	6	3	2	9	17	11	7	7	4	5	3	3	17	7	10	4	213	91	60	28	4	45	8	45	17	5	9	8	3	7	16	8	11	15	9	6	12	7	11	11	6	3	2	9	17	11	7	7	4	5	3	3	17	7	10	4	213	91	60	28	4	45	8	45	17
GCF_000092045.1	6	10	6	5	9	17	8	11	14	8	6	11	8	11	9	6	5	2	10	13	10	7	9	6	9	3	3	20	8	10	4	226	96	70	33	4	45	8	51	17	6	10	6	5	9	17	8	11	14	8	6	11	8	11	9	6	5	2	10	13	10	7	9	6	9	3	3	20	8	10	4	226	96	70	33	4	45	8	51	17
GCF_000092105.1	3	5	3	2	3	13	5	7	5	5	3	9	4	7	6	4	1	1	8	2	6	8	4	2	3	1	2	9	8	2	4	118	64	29	16	3	30	5	27	12	3	5	3	2	3	13	5	7	5	5	3	9	4	7	6	4	1	1	8	2	6	8	4	2	3	1	2	9	8	2	4	118	64	29	16	3	30	5	27	12
GCF_000092125.1	3	9	5	2	5	15	5	9	6	7	3	11	5	12	6	5	2	0	6	9	6	6	4	3	5	1	3	12	8	4	5	145	85	40	17	4	34	6	28	14	3	9	5	2	5	15	5	9	6	7	3	11	5	12	6	5	2	0	6	9	6	6	4	3	5	1	3	12	8	4	5	145	85	40	17	4	34	6	28	14
GCF_000092205.1	5	4	2	2	2	9	4	6	5	8	4	11	6	11	13	5	1	2	4	5	2	6	3	4	5	1	3	13	6	1	4	133	74	32	17	4	31	2	37	20	5	4	2	2	2	9	4	6	5	8	4	11	6	11	13	5	1	2	4	5	2	6	3	4	5	1	3	13	6	1	4	133	74	32	17	4	31	2	37	20
GCF_000092245.1	1	5	3	1	4	13	6	7	11	9	7	13	6	8	8	5	0	2	5	7	8	3	3	2	9	1	3	10	7	6	4	149	82	46	18	6	39	7	36	12	1	5	3	1	4	13	6	7	11	9	7	13	6	8	8	5	0	2	5	7	8	3	3	2	9	1	3	10	7	6	4	149	82	46	18	6	39	7	36	12
GCF_000092405.1	4	4	1	2	4	10	7	10	5	6	6	15	7	10	2	7	1	2	4	5	6	5	4	4	5	1	3	11	8	5	4	122	68	29	12	5	40	4	31	10	4	4	1	2	4	10	7	10	5	6	6	15	7	10	2	7	1	2	4	5	6	5	4	4	5	1	3	11	8	5	4	122	68	29	12	5	40	4	31	10
GCF_000092425.1	5	6	4	4	2	14	5	6	6	7	4	11	5	9	5	6	3	0	10	5	6	6	5	1	5	1	3	11	8	1	5	139	80	38	17	5	31	6	27	12	5	6	4	4	2	14	5	6	6	7	4	11	5	9	5	6	3	0	10	5	6	6	5	1	5	1	3	11	8	1	5	139	80	38	17	5	31	6	27	12
GCF_000092505.1	4	7	5	1	2	12	8	6	6	9	4	8	6	9	6	5	1	2	5	1	8	9	3	7	5	3	3	0	6	1	5	122	61	22	15	4	34	5	34	11	4	7	5	1	2	12	8	6	6	9	4	8	6	9	6	5	1	2	5	1	8	9	3	7	5	3	3	0	6	1	5	122	61	22	15	4	34	5	34	11
GCF_000092645.1	4	5	3	2	4	17	7	8	9	9	6	15	7	10	3	7	2	1	8	9	8	7	8	4	8	3	3	14	7	3	5	165	78	41	20	4	41	8	41	11	4	5	3	2	4	17	7	8	9	9	6	15	7	10	3	7	2	1	8	9	8	7	8	4	8	3	3	14	7	3	5	165	78	41	20	4	41	8	41	11
GCF_000092785.1	3	5	1	2	1	5	5	5	4	1	2	5	4	4	5	4	2	2	2	5	3	5	3	0	7	2	1	7	5	1	5	85	39	20	15	1	16	6	23	8	3	5	1	2	1	5	5	5	4	1	2	5	4	4	5	4	2	2	2	5	3	5	3	0	7	2	1	7	5	1	5	85	39	20	15	1	16	6	23	8
GCF_000092825.1	3	4	2	1	5	14	6	8	7	9	6	13	6	9	5	4	2	2	7	7	5	4	6	4	5	4	3	9	8	5	4	148	83	41	19	4	40	6	39	11	3	4	2	1	5	14	6	8	7	9	6	13	6	9	5	4	2	2	7	7	5	4	6	4	5	4	3	9	8	5	4	148	83	41	19	4	40	6	39	11
GCF_000092845.1	3	4	2	1	4	11	5	7	8	9	5	12	6	9	7	4	1	1	2	2	5	4	2	5	5	1	3	1	6	2	4	116	59	17	10	6	37	6	23	14	3	4	2	1	4	11	5	7	8	9	5	12	6	9	7	4	1	1	2	2	5	4	2	5	5	1	3	1	6	2	4	116	59	17	10	6	37	6	23	14
GCF_000092865.1	4	7	5	4	5	15	6	7	8	10	6	14	8	10	7	6	2	1	6	8	6	5	6	6	7	6	3	7	8	12	4	173	83	52	23	4	40	8	40	14	4	7	5	4	5	15	6	7	8	10	6	14	8	10	7	6	2	1	6	8	6	5	6	6	7	6	3	7	8	12	4	173	83	52	23	4	40	8	40	14
GCF_000092905.1	3	4	2	1	4	13	7	8	7	10	6	9	6	8	6	5	1	3	7	9	7	6	5	5	5	2	3	10	7	7	4	142	70	40	16	5	35	7	35	11	3	4	2	1	4	13	7	8	7	10	6	9	6	8	6	5	1	3	7	9	7	6	5	5	5	2	3	10	7	7	4	142	70	40	16	5	35	7	35	11
GCF_000092925.1	5	10	6	2	7	11	7	10	12	6	6	10	6	9	8	5	1	1	10	22	8	11	8	4	7	3	4	19	7	8	4	210	92	59	39	4	44	5	47	14	5	10	6	2	7	11	7	10	12	6	6	10	6	9	8	5	1	1	10	22	8	11	8	4	7	3	4	19	7	8	4	210	92	59	39	4	44	5	47	14
GCF_000092965.1	3	7	7	1	3	10	6	9	5	6	6	11	6	13	5	7	1	1	4	2	4	6	2	5	5	0	3	6	6	4	4	120	63	29	11	5	36	5	26	14	3	7	7	1	3	10	6	9	5	6	6	11	6	13	5	7	1	1	4	2	4	6	2	5	5	0	3	6	6	4	4	120	63	29	11	5	36	5	26	14
GCF_000093025.1	6	6	2	3	10	13	6	11	9	9	7	12	6	8	7	5	3	2	6	12	7	8	5	4	8	2	3	16	8	11	4	175	93	56	29	5	49	6	48	12	6	6	2	3	10	13	6	11	9	9	7	12	6	8	7	5	3	2	6	12	7	8	5	4	8	2	3	16	8	11	4	175	93	56	29	5	49	6	48	12
GCF_000093085.1	3	5	6	1	2	13	6	6	11	16	7	10	6	12	2	6	1	2	7	7	5	6	5	6	7	3	3	9	8	1	5	149	75	37	18	6	37	4	35	10	3	5	6	1	2	13	6	6	11	16	7	10	6	12	2	6	1	2	7	7	5	6	5	6	7	3	3	9	8	1	5	149	75	37	18	6	37	4	35	10
GCF_000143085.1	4	4	2	2	3	13	7	7	6	7	7	9	5	8	9	5	1	2	8	3	6	7	6	4	6	3	3	10	7	1	4	151	73	44	25	5	35	7	42	14	4	4	2	2	3	13	7	7	6	7	7	9	5	8	9	5	1	2	8	3	6	7	6	4	6	3	3	10	7	1	4	151	73	44	25	5	35	7	42	14
GCF_000143145.1	5	3	2	2	6	12	6	10	9	8	6	10	6	7	7	5	1	1	6	10	7	8	8	6	6	2	4	15	11	10	4	163	78	48	25	4	40	6	47	11	5	3	2	2	6	12	6	10	9	8	6	10	6	7	7	5	1	1	6	10	7	8	8	6	6	2	4	15	11	10	4	163	78	48	25	4	40	6	47	11
GCF_000143685.1	5	5	8	3	1	9	6	5	8	8	6	12	8	11	14	7	1	1	15	8	5	14	4	7	5	3	3	9	7	0	6	157	72	39	27	5	35	4	36	19	5	5	8	3	1	9	6	5	8	8	6	12	8	11	14	7	1	1	15	8	5	14	4	7	5	3	3	9	7	0	6	157	72	39	27	5	35	4	36	19
GCF_000143725.1	4	4	2	2	4	11	6	7	6	6	5	9	6	8	4	5	1	1	2	2	6	5	3	5	5	1	3	2	7	2	4	105	52	18	11	6	33	6	24	11	4	4	2	2	4	11	6	7	6	6	5	9	6	8	4	5	1	1	2	2	6	5	3	5	5	1	3	2	7	2	4	105	52	18	11	6	33	6	24	11
GCF_000143845.1	4	5	2	1	2	11	7	8	4	8	3	6	5	10	4	7	1	2	6	2	2	6	3	1	2	2	3	0	8	3	5	91	48	21	9	3	25	7	15	10	4	5	2	1	2	11	7	8	4	8	3	6	5	10	4	7	1	2	6	2	2	6	3	1	2	2	3	0	8	3	5	91	48	21	9	3	25	7	15	10
GCF_000143965.1	3	5	1	1	2	7	6	6	6	5	5	12	4	5	5	3	1	2	7	4	3	5	4	5	5	2	3	11	7	1	5	121	60	25	13	4	30	4	36	9	3	5	1	1	2	7	6	6	6	5	5	12	4	5	5	3	1	2	7	4	3	5	4	5	5	2	3	11	7	1	5	121	60	25	13	4	30	4	36	9
GCF_000143985.1	3	7	6	2	3	11	3	5	8	10	6	8	6	5	7	4	6	1	7	1	3	5	2	4	1	1	4	4	6	2	5	121	61	32	10	8	32	5	14	11	3	7	6	2	3	11	3	5	8	10	6	8	6	5	7	4	6	1	7	1	3	5	2	4	1	1	4	4	6	2	5	121	61	32	10	8	32	5	14	11
GCF_000144405.1	3	4	1	1	2	8	6	6	7	9	5	5	5	6	6	5	1	1	5	3	5	6	2	4	5	2	3	4	5	2	5	97	51	20	12	3	23	6	24	10	3	4	1	1	2	8	6	6	7	9	5	5	5	6	6	5	1	1	5	3	5	6	2	4	5	2	3	4	5	2	5	97	51	20	12	3	23	6	24	10
GCF_000144605.1	5	5	2	3	2	13	6	6	10	5	6	10	6	7	9	6	1	1	8	5	9	7	8	5	4	2	3	16	8	1	4	155	73	40	21	4	34	7	42	13	5	5	2	3	2	13	6	6	10	5	6	10	6	7	9	6	1	1	8	5	9	7	8	5	4	2	3	16	8	1	4	155	73	40	21	4	34	7	42	13
GCF_000144625.1	3	5	8	2	3	10	5	9	7	10	7	12	8	10	7	8	3	1	5	4	4	5	2	4	6	1	3	9	7	4	5	140	76	28	8	5	40	5	27	13	3	5	8	2	3	10	5	9	7	10	7	12	8	10	7	8	3	1	5	4	4	5	2	4	6	1	3	9	7	4	5	140	76	28	8	5	40	5	27	13
GCF_000144645.1	5	4	3	3	1	11	4	5	3	5	5	6	8	10	4	7	1	0	6	2	7	8	3	3	5	0	3	10	6	1	4	104	46	23	13	2	18	7	23	10	5	4	3	3	1	11	4	5	3	5	5	6	8	10	4	7	1	0	6	2	7	8	3	3	5	0	3	10	6	1	4	104	46	23	13	2	18	7	23	10
GCF_000144695.1	4	4	2	2	3	11	7	8	7	5	7	14	7	9	4	7	1	2	13	7	4	13	2	5	5	1	3	10	7	3	4	144	68	37	21	5	39	5	36	10	4	4	2	2	3	11	7	8	7	5	7	14	7	9	4	7	1	2	13	7	4	13	2	5	5	1	3	10	7	3	4	144	68	37	21	5	39	5	36	10
GCF_000145035.1	3	4	6	3	5	9	6	11	5	6	5	9	6	15	9	4	1	1	3	3	5	6	3	4	1	1	3	0	7	4	5	114	61	22	9	4	34	4	17	19	3	4	6	3	5	9	6	11	5	6	5	9	6	15	9	4	1	1	3	3	5	6	3	4	1	1	3	0	7	4	5	114	61	22	9	4	34	4	17	19
GCF_000145215.1	2	4	6	2	1	11	7	7	5	7	4	10	6	12	5	7	1	2	2	1	3	4	2	3	4	1	3	0	7	2	4	103	58	16	7	3	31	5	20	15	2	4	6	2	1	11	7	7	5	7	4	10	6	12	5	7	1	2	2	1	3	4	2	3	4	1	3	0	7	2	4	103	58	16	7	3	31	5	20	15
GCF_000145235.1	5	6	5	2	5	16	7	10	8	8	7	14	7	14	9	8	4	2	8	7	7	8	8	5	13	5	3	11	8	9	5	195	91	49	20	5	41	9	54	18	5	6	5	2	5	16	7	10	8	8	7	14	7	14	9	8	4	2	8	7	7	8	8	5	13	5	3	11	8	9	5	195	91	49	20	5	41	9	54	18
GCF_000145255.1	3	4	2	3	5	11	6	6	6	7	7	10	6	10	11	5	1	2	6	3	7	6	6	3	4	2	3	10	8	1	4	138	73	34	18	5	36	6	36	17	3	4	2	3	5	11	6	6	6	7	7	10	6	10	11	5	1	2	6	3	7	6	6	3	4	2	3	10	8	1	4	138	73	34	18	5	36	6	36	17
GCF_000145615.1	4	10	8	2	4	9	6	8	6	6	6	12	6	14	4	7	1	1	7	3	5	11	3	4	5	1	3	8	6	3	5	128	70	35	19	6	40	5	30	12	4	10	8	2	4	9	6	8	6	6	6	12	6	14	4	7	1	1	7	3	5	11	3	4	5	1	3	8	6	3	5	128	70	35	19	6	40	5	30	12
GCF_000146065.2	4	4	1	1	1	12	6	6	3	3	3	0	5	4	4	4	1	1	2	2	2	5	2	1	5	1	3	1	7	1	5	69	29	11	7	2	8	6	15	7	4	4	1	1	1	12	6	6	3	3	3	0	5	4	4	4	1	1	2	2	2	5	2	1	5	1	3	1	7	1	5	69	29	11	7	2	8	6	15	7
GCF_000146165.2	4	7	2	1	3	16	7	7	11	10	8	14	6	11	7	6	1	3	7	13	7	7	5	3	8	3	3	15	7	2	5	194	98	56	36	6	46	9	53	14	4	7	2	1	3	16	7	7	11	10	8	14	6	11	7	6	1	3	7	13	7	7	5	3	8	3	3	15	7	2	5	194	98	56	36	6	46	9	53	14
GCF_000146185.1	3	4	5	2	3	9	9	10	4	8	4	9	6	8	4	5	1	1	3	2	3	6	1	4	6	2	3	6	8	3	4	107	64	22	7	4	33	6	29	9	3	4	5	2	3	9	9	10	4	8	4	9	6	8	4	5	1	1	3	2	3	6	1	4	6	2	3	6	8	3	4	107	64	22	7	4	33	6	29	9
GCF_000146505.1	3	3	2	1	4	13	5	9	5	6	5	8	6	6	5	6	1	4	3	3	6	5	2	5	5	1	3	4	8	3	4	116	69	26	10	5	35	7	29	10	3	3	2	1	4	13	5	9	5	6	5	8	6	6	5	6	1	4	3	3	6	5	2	5	5	1	3	4	8	3	4	116	69	26	10	5	35	7	29	10
GCF_000147335.1	5	5	1	4	4	12	5	7	8	13	5	19	6	11	7	4	2	1	10	7	6	6	6	3	9	3	3	18	9	2	5	184	107	45	26	6	47	6	47	16	5	5	1	4	4	12	5	7	8	13	5	19	6	11	7	4	2	1	10	7	6	6	6	3	9	3	3	18	9	2	5	184	107	45	26	6	47	6	47	16
GCF_000147355.1	5	3	2	1	2	12	4	6	6	6	5	13	4	9	11	5	0	3	4	4	6	4	4	3	5	1	3	10	7	2	4	121	73	28	13	4	35	4	31	16	5	3	2	1	2	12	4	6	6	6	5	13	4	9	11	5	0	3	4	4	6	4	4	3	5	1	3	10	7	2	4	121	73	28	13	4	35	4	31	16
GCF_000147695.2	6	5	3	2	3	10	6	10	7	6	6	12	7	14	7	8	1	2	7	3	5	9	3	4	5	0	4	7	6	5	4	136	71	34	15	5	38	5	28	16	6	5	3	2	3	10	6	10	7	6	6	12	7	14	7	8	1	2	7	3	5	9	3	4	5	0	4	7	6	5	4	136	71	34	15	5	38	5	28	16
GCF_000148645.1	4	6	4	1	3	16	7	8	12	10	9	14	6	11	9	5	1	3	11	12	7	7	6	3	6	2	3	12	7	5	5	199	95	61	33	6	45	9	51	14	4	6	4	1	3	16	7	8	12	10	9	14	6	11	9	5	1	3	11	12	7	7	6	3	6	2	3	12	7	5	5	199	95	61	33	6	45	9	51	14
GCF_000152825.2	4	3	2	2	2	13	5	6	9	8	5	9	5	6	4	6	1	0	6	3	6	6	5	4	5	2	3	11	8	5	4	130	65	38	19	3	33	6	35	8	4	3	2	2	2	13	5	6	9	8	5	9	5	6	4	6	1	0	6	3	6	6	5	4	5	2	3	11	8	5	4	130	65	38	19	3	33	6	35	8
GCF_000153485.2	4	4	1	3	2	12	7	5	8	7	5	11	6	10	9	6	1	1	7	6	4	6	4	7	6	2	3	10	3	2	5	146	71	34	16	4	35	9	44	14	4	4	1	3	2	12	7	5	8	7	5	11	6	10	9	6	1	1	7	6	4	6	4	7	6	2	3	10	3	2	5	146	71	34	16	4	35	9	44	14
GCF_000154785.2	5	8	5	4	7	15	9	10	19	7	6	10	6	8	8	5	3	1	7	15	7	7	6	9	6	3	4	25	11	12	4	221	96	63	30	4	40	9	53	13	5	8	5	4	7	15	9	10	19	7	6	10	6	8	8	5	3	1	7	15	7	7	6	9	6	3	4	25	11	12	4	221	96	63	30	4	40	9	53	13
GCF_000155515.2	3	8	4	1	2	13	7	7	6	7	6	5	6	10	3	5	3	1	6	2	4	6	4	4	1	4	4	2	7	2	5	108	53	26	13	3	28	5	22	10	3	8	4	1	2	13	7	7	6	7	6	5	6	10	3	5	3	1	6	2	4	6	4	4	1	4	4	2	7	2	5	108	53	26	13	3	28	5	22	10
GCF_000155675.2	2	7	7	2	5	15	9	9	13	5	6	10	6	9	5	5	6	1	8	9	5	5	5	7	6	2	3	19	9	8	4	183	81	53	20	4	38	9	45	10	2	7	7	2	5	15	9	9	13	5	6	10	6	9	5	5	6	1	8	9	5	5	5	7	6	2	3	19	9	8	4	183	81	53	20	4	38	9	45	10
GCF_000155735.2	5	7	3	3	6	15	9	10	15	6	6	10	6	8	4	5	4	1	8	14	6	7	7	11	7	2	3	17	9	5	4	193	84	54	27	4	41	9	48	9	5	7	3	3	6	15	9	10	15	6	6	10	6	8	4	5	4	1	8	14	6	7	7	11	7	2	3	17	9	5	4	193	84	54	27	4	41	9	48	9
GCF_000156995.2	4	10	3	2	9	17	7	9	9	15	8	13	8	7	9	6	2	4	10	13	8	7	5	4	7	3	5	18	7	9	4	225	101	68	33	5	49	8	56	13	4	10	3	2	9	17	7	9	9	15	8	13	8	7	9	6	2	4	10	13	8	7	5	4	7	3	5	18	7	9	4	225	101	68	33	5	49	8	56	13
