accession	genome_size_bp	gc_percent	genes_total	genes_proteinCoding	checkm_completeness	checkm_contamination	coding_density
GCF_000183405.1	2216552	35.5	2184	2118	98.82	0.29	94.0714677571291
GCF_000183425.1	4516490	35.5	3811	3749	100	0	89.5023790598452
GCF_000186225.1	3998906	44.5	3364	3215	100	0.71	89.7135616591138
GCF_000186265.1	4888353	34	4286	4186	98.76	0.65	88.5805096317717
GCF_000186345.1	5529304	62.5	3732	3652	98.11	0	83.2333689737443
GCF_000186385.1	3498530	70	3398	3311	99.59	0.12	89.4853266943545
GCF_000186885.1	3851869	59	3444	3346	99.32	1.17	89.3781953643803
GCF_000190555.1	2886836	65.5	2799	2706	99.64	0.12	88.7290791717992
GCF_000191045.1	1541968	35	1604	1530	89.55	2.57	95.3602149979766
GCF_000194135.1	1694430	37.5	1800	1701	97.13	0.74	95.2532710114906
GCF_000194605.1	4633577	36.5	4078	4016	100	0	90.3312926492859
GCF_000195295.1	3282536	53	2979	2898	97.93	3.45	85.5770660245615
GCF_000195335.1	2269167	68	2292	2191	99.62	0	92.3909082055221
GCF_000196315.1	2952962	34	2720	2668	100	0.16	92.7662123657534
GCF_000196455.1	2715461	33.5	2615	2516	99.09	0.91	89.7368807727307
GCF_000199675.1	3532378	54	3210	3133	100	0	91.9778970427287
GCF_000200595.1	1672681	44.5	1708	1633	99.25	0	92.9333806027569
GCF_000212735.1	8771651	47	6852	6757	99.23	1.54	88.8996495642611
GCF_000213255.1	3135972	43.5	3003	2923	98.67	1.58	90.8033298766698
GCF_000213655.1	4972148	43.5	4380	4229	99.38	0.12	87.3309684265231
GCF_000214175.1	4863490	62	4599	4487	98.32	0.84	91.4573896522867
GCF_000214215.1	3899940	44.5	3623	3502	99.77	0.46	88.7701605665728
GCF_000214705.1	3601386	55	3624	3493	100	0	86.4004025116997
GCF_000215085.1	3969014	47	4010	3880	99.67	0	85.2319492952154
GCF_000218545.1	3526441	74	3247	3172	99.82	0.39	91.5843197149761
GCF_000218625.1	2526590	38.5	2409	2298	99.26	0.44	88.8001614824724
GCF_000219725.1	3239340	45.5	2943	2855	98.43	0.79	92.6827687121451
GCF_000223215.1	3308048	27	2928	2831	97.94	0.07	86.1808534821744
GCF_000224085.1	3842422	41.5	3443	3379	99.68	0.49	90.2016748811036
GCF_000226295.1	3695372	61.5	3103	2996	91.8	3.26	90.8602976912744
GCF_000226565.1	4134229	42.5	3530	3439	99.48	0.09	88.3608043966602
GCF_000230995.2	6200534	63	5999	5801	99.21	0.01	87.5645065408883
GCF_000231385.2	4873567	42	4588	4407	99.09	0.02	83.4819753170522
GCF_000231405.2	3176073	42	3128	3001	100	0.88	86.4548138534599
GCF_000233715.2	4855529	45.5	4713	4513	98.25	1.75	82.6756260749344
GCF_000235605.1	5863081	43	5579	5368	99.83	1.61	85.4150232616606
GCF_000242255.2	3603458	63.5	3276	3142	99.09	0.76	87.2393961578018
GCF_000243155.2	4321753	45	4250	4104	99.12	1.75	85.9012303572185
GCF_000247605.1	4044777	39.5	3719	3609	100	1.43	86.3689889454969
GCF_000252445.1	4406036	69	4342	4210	99.77	0.35	88.4608977321111
GCF_000255115.2	4991181	42	4726	4572	99.05	0	82.4950848306243
GCF_000255135.1	2244793	29	2126	2050	95.38	2.37	92.2142487080101
GCF_000258405.1	3658997	34	3184	3119	99.11	1.35	92.252303021839
GCF_000259275.1	1847790	35.5	1783	1650	96.96	0.21	90.2830949404424
GCF_000263195.1	5220361	35.5	4339	4278	99.98	0.3	89.0222342860963
GCF_000265385.1	3520671	36	3219	3157	96.51	0.88	89.6522566294891
GCF_000265405.1	4196595	37	3825	3730	99.42	0.15	88.0586046544878
GCF_000265505.1	4919337	30.5	4096	4004	99.39	0.91	84.0965967568394
GCF_000266945.1	6527027	50	5397	5302	100	0	82.2371655579179
GCF_000269985.1	8783278	74	7713	7487	97.96	1.66	87.0562448325102
GCF_000279145.1	3300414	41.5	2952	2874	98.78	0.57	93.3127783362936
GCF_000281175.1	5144873	59	4154	4067	99.84	0	88.9040409743836
GCF_000284335.1	1558103	35.5	1574	1515	98.28	0	92.4390107714317
GCF_000284515.1	4170008	42	4127	4007	98.53	0.7	82.100969590466
GCF_000299355.1	3108248	30	3086	2937	97.41	0	83.2302634796194
GCF_000306675.2	4216282	39.5	3689	3398	73.89	6.22	83.7055253894308
GCF_000307105.1	5197905	41.5	4606	4483	99.54	0.46	88.3801454624507
GCF_000307165.1	2569486	35.5	2481	2355	88.01	0.65	84.9417354287978
GCF_000316515.1	3342364	68.5	3427	3326	97.29	1.3	90.247142441697
GCF_000317125.1	6689401	44.5	6242	6046	99.14	0.88	84.9938880925213
GCF_000317515.1	7966510	46	6804	6543	100	0.41	83.4410551169835
GCF_000317615.1	3781008	42.5	3830	3721	98.78	0.36	84.1851167730933
GCF_000317695.1	7063285	39	6196	5947	99.12	0.33	81.8444817107054
GCF_000317835.1	4513714	63.5	4455	4324	99.77	0.35	86.6779995365236
GCF_000328625.1	2649255	32.5	2629	2506	99.89	0	88.6202347452397
GCF_000341345.1	3222008	68.5	2971	2873	98.79	0.48	87.8565788787613
GCF_000341355.1	1596490	42	1382	1303	99.94	0	80.2185419263509
GCF_000341395.1	4023512	45.5	3614	3528	96.55	0	89.5865850530581
GCF_000344805.1	8264165	65	7278	7144	98.76	0.42	86.2321964772
GCF_000348785.1	4830181	67.5	4306	4235	97.31	1.68	92.5961366665142
GCF_000418365.1	2751233	67	2473	2376	99.49	1.07	89.883881154377
GCF_000455605.1	2993089	31.5	2787	2700	98.59	0.08	91.0459729062517
GCF_000493735.1	2497115	35	2403	2268	97.46	2.2	83.7904942303418
GCF_000503895.1	3653837	64	3440	3336	97.74	0.47	86.1282810371672
GCF_000511355.1	4650996	62.5	4578	4310	98.31	0.07	87.0073205825161
GCF_000512915.1	3076856	51.5	2564	2456	98.51	2.64	88.8139386438624
GCF_000521505.1	4764126	54	4396	4296	99.59	0	88.0092172205353
GCF_000525635.1	9874926	70.5	8932	8760	99.25	2.99	90.4393916470868
GCF_000550785.1	3132213	55.5	2884	2749	99.45	0	87.7712020223401
GCF_000550805.1	2931780	65.5	2688	2580	98.91	0.14	87.6185116209265
GCF_000590555.1	2031902	59	1937	1831	97.4	0.62	90.2199023378096
GCF_000724625.1	5231762	61	4737	4650	97.41	1.72	89.3033551602691
GCF_000739085.1	7237391	71.5	7495	7116	98.73	0.33	90.2005570792016
GCF_000743945.1	1959069	40.5	1705	1644	96.72	0.46	88.1711159739652
GCF_000767055.1	2698995	67	2671	2552	99.9	0.79	90.8576710960932
GCF_000816185.1	1465081	28	1533	1449	98.56	0.06	94.1850314078198
GCF_000833575.1	2830519	60	2649	2540	99.9	0.05	89.7683075082697
GCF_000835165.1	2729219	68	2626	2516	100	0.41	90.6349398857329
GCF_000959365.1	7135022	67	6403	6139	99.91	0.77	85.3562469744312
GCF_000968055.1	1554229	29	1503	1447	99.72	3.41	90.8615139725227
GCF_000980835.1	2354065	46.5	2144	2048	98.99	0.41	85.8887074061252
GCF_001189295.1	11388132	68.5	8313	8148	96.55	1.72	87.5981153010871
GCF_001263205.1	12191466	66	10684	10489	100	7.92	89.3577851917071
GCF_001267925.1	4965474	61	4594	4464	93.95	3.83	88.9032950328609
GCF_001277255.1	4499482	56	4248	4067	99.11	0.63	87.8007957360425
GCF_001431725.1	4757486	58.5	4165	4067	99.58	1.86	88.1504643418814
GCF_001513745.1	7287809	67	6632	6248	99.79	0.38	87.8375928897149
GCF_001553625.1	2783374	59	2670	2517	63.65	12.55	90.6066522141832
GCF_001561955.1	3120417	39	3023	2899	99.09	0	82.6044403680662
GCF_001602095.1	1829936	40	1777	1683	96.36	2.02	90.7285828575426
GCF_001618865.1	7480314	67	6305	6153	97	5.19	88.5735946378722
GCF_001632775.1	4446619	70.5	3653	3568	98.55	0.95	89.2810919937148
GCF_001636295.1	3826972	74	3501	3418	81.79	17.16	91.5776232488767
GCF_001653755.1	3293944	38	2934	2868	100	0.49	91.0110190094306
GCF_001663155.1	2673978	57	2596	2540	93.22	3.11	92.2589490265066
GCF_001693385.1	8322773	62	7924	7614	99.42	1.51	83.9159616632582
GCF_001693515.2	8377719	62.5	7949	7677	99.85	0.9	84.7388173320208
GCF_001701025.1	9997872	70	9914	9504	97.83	1.49	90.5238034653774
GCF_001854225.1	1424506	52	1398	1347	98.35	0.06	94.9067255595975
GCF_001886815.1	4978541	45	3882	3810	100	0	87.2062919638505
GCF_001941485.1	2604152	71.5	2264	2172	99.47	0.41	87.7802831785549
GCF_001941825.1	7523017	65.5	6724	6477	90.4	13.09	90.443528174933
GCF_001945665.1	1311545	28	1331	1208	98.95	0	87.3088609235673
GCF_001989575.1	1745789	34	1813	1719	94.03	0.75	88.4152666788484
GCF_002104335.1	1937768	31	1926	1837	99.12	0.82	88.5228778677324
GCF_002157225.2	7113812	41	5888	5772	99.44	1.31	83.9552549322361
GCF_002222595.2	3065949	39	3075	2936	90.3	1.82	90.2319314509145
GCF_002238335.1	1738633	34	1798	1719	97.45	0.89	92.8049795442742
GCF_002266435.3	7025930	64.5	6583	6502	99.96	0.07	88.2526014349702
GCF_002305855.1	9910441	68.5	8223	8068	97.56	2.3	91.1877887169703
GCF_002838765.1	2653010	44	2482	2415	93.89	2.8	90.0390122916989
GCF_002863865.1	4914503	51	4229	4133	94.52	1.88	91.368567686295
GCF_002896855.1	4731216	41.5	4118	3979	97.52	4.78	82.3491254679558
GCF_003019695.1	1678881	32.5	1676	1592	99.37	0	91.7102522453944
GCF_003076455.1	4621116	35	3822	3708	98.28	0.6	85.6207461574217
GCF_003096075.1	3911842	71	3685	3532	98.99	0.42	89.1409213357799
GCF_003290445.1	2054094	32.5	1975	1899	96.3	1.83	91.6785210413934
GCF_003312875.1	9121443	70.5	8555	8395	98.12	3.17	91.7993896360477
GCF_003330725.1	7600726	57	6456	6244	98.61	2.19	84.0031860114416
GCF_003355515.1	1915613	28	1979	1911	98.47	0.92	93.0118452944306
GCF_003589925.1	8241389	51	6775	6705	100	1.22	89.3407045826863
GCF_003721225.2	2887944	61.5	2869	2759	96.35	7.99	90.0186430207788
GCF_003815775.1	4890621	35.5	4518	4389	99.4	0.88	87.6425100207111
GCF_003991135.1	3557532	36	3303	3101	91.82	6.7	81.9384899419035
GCF_003999255.1	2905633	35	2846	2687	98.92	3.41	88.7498868577002
GCF_004014775.2	3153180	53	2962	2820	97.81	1.49	89.0090955797005
GCF_004014855.1	3293048	32	2945	2885	99.01	1.49	88.440557198073
GCF_004114935.1	9342022	63	8838	8421	99.89	0	83.7206870204331
GCF_004114955.1	8138177	63.5	7709	7479	99.17	0.47	87.1760469205819
GCF_004208415.1	11340617	52	9811	9595	96.94	0	81.647471209018
GCF_004214815.1	1915080	27	1985	1913	97.67	0	92.8362783800155
GCF_004299785.2	2018219	27	2099	2033	87.24	3.32	92.6476264468821
GCF_005083985.2	1871566	34	2041	1966	97.15	2.69	94.1373160230524
GCF_005116655.2	6751878	44.5	5608	5446	98.28	3.45	82.5590450538354
GCF_005377625.1	3365583	59.5	3043	2911	98.28	0	83.9000553544512
GCF_005843985.1	1685887	27	1818	1746	96.89	1.67	94.9470516114069
GCF_006542645.1	3507492	58	2980	2888	98.26	1.1	89.7483158906706
GCF_006542665.1	3301347	58.5	2738	2654	95.52	1.47	88.1206065281838
GCF_007858975.2	4317154	52.5	3902	3721	94.02	2.57	85.7825317327109
GCF_008247605.1	3624619	59	3393	3299	98.98	1.96	88.9826489349639
GCF_008254045.1	9378099	65.5	8229	7998	96.89	4.72	87.5851811758439
GCF_008327825.1	2161166	29.5	2039	1958	99.4	0.42	84.2248582478162
GCF_008369785.1	2062281	33	2029	1963	99.29	0.64	92.8010295396214
GCF_009026825.1	2351892	60	2093	2000	99.49	0	88.0978803448458
GCF_009193325.2	5320612	42.5	4276	4084	100	0.12	91.1326178266711
GCF_009688945.1	7324708	56.5	6457	6332	99.18	3.62	86.109453100383
GCF_009720525.1	8027492	52.5	6302	6129	97.55	0.69	86.1025336431354
GCF_009720625.1	5602542	36	5481	5139	99.35	0.94	79.6614822343144
GCF_009762775.1	7811310	38.5	6322	6246	98.5	5.08	89.9189764584942
GCF_009910365.1	3095392	51.5	2847	2781	98.88	0.56	92.7182728391105
GCF_010093065.1	7969925	46	6279	6161	97.47	2.61	88.0528737723379
GCF_011455495.1	2136304	42.5	2050	1960	96.14	0.48	89.3372853301777
GCF_011455875.1	2253194	42.5	2102	2002	98.75	0.28	88.075727167745
GCF_011516645.4	10410654	63.5	10015	9393	99.36	0.62	84.6102752046125
GCF_012113595.1	6782182	43	5162	5021	99.82	0	90.5151616397201
GCF_012222965.1	1750491	32	1636	1546	89.38	0.85	89.7801245479126
GCF_012295615.1	3550395	44	3305	3238	100	0.33	90.651659885731
GCF_012849095.1	8522788	50.5	7232	7024	95.31	14.49	88.5723310259507
GCF_012913305.1	3664154	69.5	3723	3479	89.95	0.2	86.5070081661415
GCF_013128195.2	9857393	67.5	8173	7910	97.15	5.71	83.8081224924278
GCF_013201605.1	1644930	29	1687	1599	98.56	0	93.8373669396266
GCF_013201645.1	1694495	32	1790	1724	97.36	0.7	92.5338817759864
GCF_013201705.1	2448998	27	2456	2362	98.11	0.73	92.5059963299276
GCF_013201895.1	1891678	29.5	1895	1823	95.22	0.95	90.6609370093642
GCF_013315815.1	1989979	50.5	1953	1858	98.69	0	87.568260770591
GCF_013372105.1	1642612	28.5	1679	1595	97.23	0.13	93.7567118710931
GCF_013372205.1	1773478	36.5	1870	1787	98.31	0.22	93.9422986921744
GCF_013376475.1	4155851	64	3656	3567	98.33	0.74	87.1948729634436
GCF_013388295.1	1659117	37	1403	1291	99.8	0	77.8089791135887
GCF_014041995.1	2661583	58	2313	2213	100	4.98	87.7430085779779
GCF_014075995.1	6935613	41	5407	5308	99.7	0.86	82.7738802611968
GCF_014541205.1	2155161	40	2136	2039	90.3	0.83	89.5306197541622
GCF_015097275.1	4171466	38.5	3304	3184	99.63	0	88.7341284814499
GCF_015624505.1	7622528	64	7187	7078	99.26	0.82	88.1510832101896
GCF_015689335.1	7432405	64	6532	6322	87.34	12.99	89.6026790789791
GCF_016127355.1	2220058	54	2293	2191	98.13	0.38	86.5640447231559
GCF_016613535.2	3933292	69	3499	3240	84.94	11.88	86.0426838383726
GCF_016725245.1	2543530	32.5	2535	2430	98.76	2.19	86.3624569004494
GCF_016767175.1	2307997	29.5	2279	2195	98.12	2.59	88.2240748146553
GCF_017377355.1	6908045	38.5	5931	5816	96.85	2.17	89.8526428244171
GCF_017868935.1	4572976	64	4294	4182	98.83	0.37	90.6662532232839
GCF_018324385.1	2572603	60.5	2497	2433	89.2	4.47	92.8880592924754
GCF_018885265.1	7657695	70	7118	6941	96.77	3.65	91.2542873540928
GCF_019063885.1	4829642	61.5	4250	4155	99.68	1.19	87.7785972542064
GCF_019175365.1	8979594	72.5	7960	7776	93.53	13.22	87.3882271291998
GCF_019904175.1	11959907	72.5	10803	10568	95.45	6.44	90.123359654887
GCF_020091585.1	8564336	49.5	8277	7861	94.53	3.73	82.6749440937394
GCF_020162295.1	2432066	46.5	2389	2280	98.37	0	85.4934857853364
GCF_020386615.1	7663439	47.5	5758	5683	98.15	3.07	88.8204368821883
GCF_020792675.1	4101974	72	3693	3613	90.04	19.36	90.2142236883998
GCF_020911905.1	4362213	34.5	3685	3593	99.53	0.73	87.7268028865166
GCF_021389975.1	6978354	42	5727	5650	99.7	1.83	89.8371736372216
GCF_021391495.1	8183622	70.5	8132	7874	97.41	2.87	90.9160027186006
GCF_021922925.1	3226754	73.5	3096	3029	92.12	3.62	91.6802458445856
GCF_021952865.1	3243492	73	3093	3020	92.32	4.71	91.2461014240208
GCF_022814725.1	3582323	43	3344	3296	92.88	2.72	91.5674549726532
GCF_024453815.1	2389603	60.5	2247	2164	99.95	0.41	90.5025646519526
GCF_024453835.1	2337040	63	2257	2164	99.77	0.48	91.164207715743
GCF_024707545.1	7548464	62	7389	6971	99.34	0.81	85.3021753829653
GCF_025137375.1	10494953	71	9671	9456	97.34	11.52	88.8523369280453
GCF_025145845.1	3809618	57.5	3246	3120	96.57	2.52	89.2220952336954
GCF_025149125.1	6353279	55.5	5736	5604	98.75	5.07	89.2389898192729
GCF_025151385.1	3307707	45.5	2714	2578	98.88	0.62	86.3478838966088
GCF_025152405.1	2733858	42.5	2579	2435	99.38	0.62	87.4537009603279
GCF_025264685.1	8220997	71	7768	7525	95.41	12.17	88.4139600099599
GCF_027627435.1	9155765	72.5	8288	7919	97.98	4.06	85.3756512972974
GCF_028609805.1	2237865	65	2061	1963	96.7	0	90.3893219653554
GCF_028609825.1	2279521	65	2207	2109	96.54	0.41	91.6049906976071
GCF_028622115.1	10411187	70	9716	9415	95.56	1.58	92.214826224906
GCF_030252345.1	9807870	71.5	8793	8604	95.65	6.87	87.9218423572091
GCF_030408815.1	2962293	50	2681	2597	99.83	1.23	86.6765036409295
GCF_030408855.1	2529320	63	2443	2350	98.98	0.66	91.9645991808075
GCF_030440535.1	1979952	64.5	1923	1846	98.63	0.41	92.340066829903
GCF_030440555.1	1863130	49.5	1691	1617	97.71	0.04	89.0977011802719
GCF_030440575.1	2584365	62	2280	2200	99.07	0.21	87.7331955818934
GCF_030506285.1	7134482	42	5893	5819	99.39	0.91	87.4807309066026
GCF_036632915.2	2955389	56	2936	2686	91.19	3.64	85.7489487847454
GCF_037055315.1	3316918	64	3030	2928	95.03	1.66	89.383156291473
GCF_038396765.1	6517700	55	5443	5318	96.19	1.1	90.1133682127131
GCF_040571325.1	8019228	73.5	7311	7011	98.11	4.4	85.7190243250348
GCF_040581405.1	3437745	62	3268	3118	99.43	0.95	87.5881137198949
GCF_041892135.1	3604506	66.5	3510	3437	99.11	3.13	90.5449734304784
GCF_041897805.1	8488118	71.5	7489	7291	99.83	2.07	87.4084808905814
GCF_043575855.1	12011312	70.5	11093	10893	99.4	1.82	90.3100094311096
GCF_045016065.1	7425094	65.5	6402	6240	86.96	13.88	90.4877837236808
GCF_045571495.1	7598687	64	7153	6969	99.69	0	86.2527039210853
GCF_045788535.1	4046817	34.5	3436	3360	99.35	0.32	90.9525931120681
GCF_046058945.1	2324176	40.5	2278	2127	94.95	1.17	85.8929788449756
GCF_047345005.1	7021699	62.5	6508	6348	97.02	3.91	85.2300703860989
GCF_047456285.1	4140558	44	3839	3715	99.29	0	87.1277011455944
GCF_048565275.1	9639276	51.5	8656	8499	99.03	7.01	86.0543675686846
GCF_900187255.1	2688499	44	2435	2343	98.57	2.92	88.1226662163534
GCF_900475835.1	2749647	58.5	2582	2488	97.55	0.79	90.1682652355011
GCF_900476035.1	2022832	42.5	1961	1853	99.47	0.08	88.7415761664834
GCF_900476045.1	1760930	30.5	1718	1642	99.05	0.75	87.0950577251793
GCF_900636745.1	2451991	40	2313	2220	99.43	0.14	88.3384971641413
GCF_900637975.1	3491241	69	2964	2818	99.61	0.47	86.2444614966426
GCF_948472415.1	8073621	74	7501	6750	94.85	1.96	85.0235476745812
GCF_964642095.1	2849698	63	2547	2460	93.69	3.03	86.0290107934244
GCF_000009905.1	3566135	68.5	3403	3240	97.37	1.78	86.3533208922265
GCF_000011245.1	3630528	35.5	3628	3491	97.99	0.11	84.7427977418161
GCF_000012305.1	2650701	43	2265	2148	99.6	0.25	81.5099100200287
GCF_000012485.1	2364842	57.5	2231	2144	97.77	0.84	90.2418005092941
GCF_000012885.1	3665893	55	3262	3174	99.65	0	86.3005821501064
GCF_000012965.1	2201561	34.5	2220	2154	99.29	0	93.4215767812021
GCF_000013405.1	3179300	51.5	2954	2853	97.07	1.72	86.1824930016041
GCF_000013665.1	5057531	46	4141	4074	100	0	87.0344047322696
GCF_000013705.1	2971517	55.5	2875	2801	99.58	0.02	90.4337414189453
GCF_000013765.1	4545906	45	3969	3793	94.01	1.34	84.9796058255494
GCF_000013885.1	5011522	61.5	4919	4503	99.05	0.73	82.9383568504738
GCF_000013985.1	3373713	65.5	3320	3230	98.39	0.65	90.8060940572005
GCF_000014965.1	4990251	60	4051	3958	98.28	10.34	81.6725451284915
GCF_000015045.1	4241119	58.5	3942	3828	98.39	1.51	88.3582375311799
GCF_000015245.1	4306142	53.5	3812	3669	98.42	0.83	88.0853905886058
GCF_000015285.1	4559598	40	3954	3745	99.6	0.56	79.4767433444791
GCF_000015305.1	6491865	68	6233	6063	100	0.16	92.3990717613506
GCF_000015505.1	5366143	61.5	5167	4994	99.93	0.14	89.4156380103922
GCF_000016425.1	5183331	69.5	4774	4542	98.02	0.99	87.8875958336444
GCF_000016785.1	1823511	46	1871	1806	99.61	0	95.623662264719
GCF_000017265.1	4379231	71	4347	4270	99.77	0.09	91.6728073947229
GCF_000017565.1	3914745	62.5	3742	3676	99.59	1.33	90.2118784237543
GCF_000017805.1	5723298	60.5	4644	4553	97.68	2.58	83.2942824224774
GCF_000017865.1	2135342	38.5	2140	2081	99.58	0	94.9000675301661
GCF_000018025.1	5517674	46	4745	4555	99.84	0	83.4471735735022
GCF_000018605.1	2169548	34	2070	1990	98.83	0.37	90.7584897868127
GCF_000019185.1	5226917	44.5	4520	4334	99.84	0.06	83.7183754783173
GCF_000019965.1	5957605	65.5	4717	4615	98.07	1.68	88.5710952639525
GCF_000020005.1	3191453	36.5	3021	2928	98.18	0.91	87.5415680569321
GCF_000020625.1	2579695	50	2404	2320	98.95	0.6	88.2773351113213
GCF_000021545.1	1640877	33	1772	1709	99.4	0.66	94.7883357497241
GCF_000021565.1	1983966	37	2102	2048	98.3	0.04	95.0650363967931
GCF_000021685.1	2920744	64.5	2640	2556	97.7	2.79	87.6447918749469
GCF_000021745.1	4305430	63	3983	3864	98.32	0.56	86.599805362066
GCF_000021805.1	4787694	40	4556	4409	99.74	0	86.0838850603234
GCF_000022085.1	8839022	68.5	8727	8204	99.24	0.25	82.2038230021376
GCF_000023065.1	3471292	49	3282	3150	98.4	0.8	89.0932540391301
GCF_000023465.1	5128187	36	4504	4396	99.68	0.16	87.7244531059417
GCF_000023705.1	2547570	45.5	2384	2326	99.39	2.25	89.5721412954306
GCF_000023825.1	5167383	42	4289	4226	99.35	0.08	92.7515339969962
GCF_000024125.1	3530383	55.5	3147	3091	99.67	0.27	91.6403687645222
GCF_000024365.1	6060298	71	5513	5288	98.62	0.66	89.6574227868003
GCF_000024385.1	5639016	71.5	5022	4907	99.1	0.22	84.2791189101077
GCF_000024525.1	8491258	50	7035	6936	99.43	0.27	87.7925744336116
GCF_000024545.1	6841557	68	6568	6377	98.14	0.13	91.555299473497
GCF_000024725.1	4145260	51.5	3984	3864	98.08	1.34	87.4342502038473
GCF_000024865.1	10369518	71	9353	9138	98.07	1.16	86.7069906238651
GCF_000024885.1	2306351	39	2345	2282	99.29	0.42	93.1972193304488
GCF_000024925.1	4253413	72	3787	3704	99.58	0.14	90.3872490162606
GCF_000024965.1	3831380	72.5	3528	3446	99.03	0.35	91.2485840610955
GCF_000024985.1	3993764	68	3548	3469	97.51	0.3	85.7776523600293
GCF_000025005.1	3101581	53.5	2928	2852	84.97	4.67	91.2480763842698
GCF_000025605.1	1500577	47	1650	1594	99.64	0.22	96.6043062102112
GCF_000025645.1	2451061	34	2462	2315	98.49	0.1	88.5127705920008
GCF_000025705.1	3003656	57.5	3030	2961	88.31	7.38	91.7072727369579
GCF_000091325.1	4962103	44.5	4168	3919	99.33	0.04	81.4641695265092
GCF_000092105.1	5460085	53.5	4131	4042	99.43	0	83.4322176303116
GCF_000092405.1	2405559	51	2416	2340	99.46	0.05	86.7158111690464
GCF_000092425.1	3260398	68	3054	2974	97.63	2.23	88.3726158585547
GCF_000092645.1	4189976	72.5	3634	3539	64.71	2.2	83.4061579350335
GCF_000092825.1	3157527	67	3119	3028	98.69	0	90.4927812177061
GCF_000143085.1	3373286	50	3191	3066	89.96	5.2	87.3989338585581
GCF_000143985.1	4653970	49	4358	4276	99.19	0	93.1941116938872
GCF_000144645.1	2280035	47	2341	2217	98.18	0	89.1113513608344
GCF_000147355.1	2153198	35	2237	2171	98.59	0	94.2392664306766
GCF_000147695.2	2785056	34.5	2795	2489	96.64	0.12	88.1600226350925
GCF_000152825.2	2902643	60.5	2711	2638	98.65	0.68	91.0159465011715
GCF_000153485.2	4321832	34.5	3819	3624	90.59	10.75	83.8216524844094
GCF_000154785.2	4745450	57	4560	4404	99.23	0	89.6073291257942
GCF_000155675.2	4875481	54.5	5091	4527	97.54	1.61	86.9451650001303
GCF_000155735.2	5478249	55	5729	5006	98.86	3.04	87.3890544223163
GCF_000165715.2	6006602	56.5	4706	4625	99.43	0.5	84.7461842818952
GCF_000166135.1	8815781	72.5	7251	7111	98.79	0	85.8154824853294
GCF_000175295.2	2344824	34.5	2392	2233	98.93	0.1	88.5833222450811
GCF_000176915.2	3629109	62.5	3400	3304	99.51	0	89.5513196214277
GCF_000179915.2	5095226	57.5	4270	4194	99.62	0.13	89.8492628197454
GCF_000183135.1	3685504	39	3029	2951	98.88	1.87	86.7883741273921
GCF_000183725.1	2819357	44.5	2875	2794	99.57	2.81	92.9985808820948
GCF_000183745.1	2439291	70	2460	2396	99.7	0	92.9895203155343
GCF_000184345.1	2560222	61	2371	2290	98.63	0.53	94.0944964928823
GCF_000184705.1	2844696	72.5	2438	2335	95.84	0.14	84.6415223278691
GCF_000185805.1	1759526	52	1891	1828	99.39	0.91	95.3317541201437
GCF_000186245.1	2101285	54	2192	2120	98.27	1.87	91.3070811432052
GCF_000189775.2	2534358	35	2498	2381	98.56	0.08	89.0600696507755
GCF_000190435.1	3316466	49	3114	3041	99.43	0.93	91.7821259135477
GCF_000190575.1	4308663	46.5	3775	3600	100	0.71	87.186790890817
GCF_000190635.1	3406739	46.5	3393	3285	99.56	0	87.9169199636368
GCF_000190735.1	4635236	36.5	3866	3787	100	0.15	89.1791917391046
GCF_000192745.1	4718963	67	4507	4403	99.27	0.29	89.3310034429174
GCF_000195275.1	2897425	39	2838	2758	99.42	0	90.0028473558418
GCF_000196355.1	3234309	54	2921	2829	96.66	1.91	85.6130629448207
GCF_000196535.1	2146480	55.5	1889	1813	99.54	0.11	90.2721199358951
GCF_000204155.1	6732271	71	6102	5934	93.87	5.36	89.2118424822768
GCF_000212375.1	2186370	52.5	1715	1643	98.59	1.7	86.8745454794934
GCF_000212395.1	1898865	34	1923	1850	98.31	0.05	92.8583653919578
GCF_000212415.1	3055580	51.5	2652	2586	99.42	0.58	90.7123361194929
GCF_000213235.1	2759867	37.5	2687	2577	99.09	0	87.5075501826719
GCF_000214825.1	1932455	47	1725	1672	86.96	0.34	93.9257059025954
GCF_000217655.1	1133390	52.5	1036	967	99.86	0	92.7818314966605
GCF_000217795.1	2322224	42.5	2292	2211	97.19	0.45	90.934638518937
GCF_000217815.1	2039943	40.5	2079	2002	99.58	0	93.7646296979867
GCF_000218895.1	6919729	46.5	5898	5819	98.78	1.02	88.1405471225824
GCF_000227705.2	4355525	60	4116	3924	97.34	0	87.9521068068718
GCF_000227745.2	5017071	62.5	4649	4463	99.92	0	88.0483652712908
GCF_000236685.1	3590853	46	3281	3200	98.85	0	89.9325870482585
GCF_000236705.1	4000057	40	3531	3473	99.5	0.99	91.4961461799169
GCF_000237305.1	8092553	73	7237	7011	97.93	1.81	87.1078261705546
GCF_000238255.3	4752413	41	4313	4182	99.94	0.38	88.8351033464474
GCF_000242335.1	3350206	56	2657	2521	96.6	1.61	88.5465550476598
GCF_000242455.2	9755686	62	7381	7185	98.31	5.86	82.306298091185
GCF_000242595.2	3285855	58	2870	2804	98.58	0.12	93.8706668431809
GCF_000242635.2	5202069	37.5	4482	4383	100	0.15	88.0288592865646
GCF_000243115.2	4697343	45	3847	3791	98.97	1.3	88.0488182361816
GCF_000246855.1	9033684	45	7222	7126	99.54	0.18	87.7679693024463
