accession	genome_size_mb	genes_total_num	genes_protein_num	gc_percent	organism_name	organism_taxId	ORGANISM ECOSYSTEM CATEGORY
GCF_012767755.2	6.826062	6249	6090	66.5	Pseudomonas tohonis	2725477	Mammals: Human
GCF_012848855.1	3.333914	3118	3053	64.0	Pyruvatibacter mobilis	1712261	Unclassified
GCF_013009555.1	5.625488	4644	4398	42.0	Phocaeicola dorei	357276	Mammals: Human
GCF_013046785.1	7.815457	6976	6748	72.5	Streptomyces argyrophylli	2726118	Plants
GCF_013046825.1	2.999687	2917	2744	34.5	Turicibacter sanguinis	154288	Mammals: Human
GCF_013177435.1	2.824877	2429	2289	53.5	Xylella taiwanensis	1444770	Unclassified
GCF_013283835.1	3.568672	3445	3323	28.5	Poseidonibacter lekithochrous	1904463	Unclassified
GCF_014268455.2	6.054205	5508	5339	60.5	Pseudomonas shahriarae	2745512	Plants
GCF_014268495.2	6.422728	5736	5544	60.0	Pseudomonas monsensis	2745509	Plants
GCF_014268695.2	6.551245	5878	5702	61.0	Pseudomonas ogarae	1114970	Plants
GCF_014770185.1	2.34378	2200	2111	61.5	Rathayibacter toxicus	145458	Plants
GCF_016028275.1	2.571374	2538	2411	34.5	Staphylococcus carnosus	1281	Food production
GCF_016028295.1	2.216575	2135	1996	37.5	Staphylococcus auricularis	29379	Mammals: Human
GCF_016028515.1	4.394686	4173	4065	63.5	Stutzerimonas frequens	2968969	Aquatic
GCF_016028635.1	4.042123	3841	3736	64.5	Stutzerimonas degradans	2968968	Terrestrial
GCF_016127275.1	1.958742	2022	1830	37.5	Streptococcus infantarius	102684	Mammals: Human
GCF_016406325.1	4.38633	3907	3719	44.5	Shewanella putrefaciens	24	Mammals: Human
GCF_016618195.1	4.34237	3986	3848	40.0	Providencia manganoxydans	2923283	Terrestrial
GCF_016724805.1	3.026517	2480	2383	55.0	Sutterella wadsworthensis	40545	Mammals: Human
GCF_016725005.1	1.903262	1898	1741	38.0	Streptococcus constellatus	76860	Mammals: Human
GCF_016726365.1	2.583917	2276	2202	57.0	Rothia aeria	172042	Mammals: Human
GCF_016726485.1	1.929566	1831	1746	34.0	Peptoniphilus harei	54005	Mammals: Human
GCF_016801025.1	4.629545	4519	4428	64.0	Paradevosia shaoguanensis	1335043	Wastewater
GCF_017352135.1	6.423001	6291	6017	61.0	Rhizobium lentis	1138194	Plants
GCF_017639205.1	9.022916	8261	7979	72.0	Streptomyces nojiriensis	66374	Terrestrial
GCF_018075365.1	4.761851	4434	4216	37.5	Virgibacillus pantothenticus	1473	Terrestrial
GCF_018316655.1	7.395646	6687	6546	73.5	Nocardiopsis changdeensis	2831969	Terrestrial
GCF_018343775.1	5.984143	5205	5037	58.0	Pseudomonas cichorii	36746	Food production
GCF_019046945.1	2.187618	2127	2008	40.5	Streptococcus gordonii	1302	Mammals: Human
GCF_019048385.1	4.692018	4371	4213	55.0	Pantoea agglomerans	549	Mammals: Human
GCF_019048645.1	2.019345	2011	1866	37.0	Streptococcus mutans	1309	Mammals: Human
GCF_019645855.1	5.319859	4977	4757	67.0	Mycobacterium malmoense	1780	Mammals: Human
GCF_019645875.1	6.086722	5817	5707	66.5	Mycolicibacterium senegalense	1796	Mammals
GCF_020181655.1	4.912018	4447	4235	51.5	Pectobacterium colocasium	2878098	Plants
GCF_020883495.1	4.848065	4730	4595	64.5	Shinella zoogloeoides	352475	Wastewater
GCF_021173085.1	5.310536	4927	4828	63.5	Ralstonia wenshanensis	2842456	Terrestrial
GCF_021654455.1	2.197342	2209	2072	40.0	Streptococcus parasuis	1501662	Unclassified
GCF_022179545.1	6.406072	6195	6059	66.0	Mycolicibacterium fortuitum subsp. fortuitum	144549	Mammals: Human
GCF_022647325.1	4.682225	4367	4207	57.5	Pantoea deleyi	470932	Plants
GCF_022788655.1	4.49857	4381	4250	59.0	Sulfitobacter indolifex	225422	Aquatic
GCF_022811565.1	5.967522	5448	5247	45.0	Paenibacillus polymyxa ATCC 842	1036171	Terrestrial
GCF_022869645.1	2.181327	2218	1965	52.0	Neisseria meningitidis	487	Mammals: Human
GCF_022984195.1	2.749599	2785	2722	55.5	Synechococcus elongatus PCC 6301	269084	Aquatic
GCF_024181585.1	2.805741	2522	2439	49.0	Treponema socranskii subsp. buccale	69713	Mammals: Human
GCF_024296925.1	7.328926	6495	6314	59.5	Pseudomonas nunensis	2961896	Terrestrial
GCF_024362345.1	3.087453	2793	2739	30.0	Polaribacter dokdonensis	326329	Aquatic
GCF_024918935.1	4.418414	3660	3573	30.5	Polaribacter sejongensis	985043	Terrestrial
GCF_024925465.1	5.690309	5117	4853	66.5	Ralstonia pseudosolanacearum	1310165	Plants
GCF_025151045.1	4.749455	3868	3711	45.0	Parabacteroides johnsonii DSM 18315	537006	Mammals: Human
GCF_025231465.1	8.349858	7322	7124	72.0	Streptomyces murinus	33900	Terrestrial
GCF_026409565.1	3.941851	3739	3663	48.5	Sneathiella aquimaris	2599305	Aquatic
GCF_027497495.1	8.284047	7186	6936	70.5	Streptomyces tubercidicus	47759	Terrestrial
GCF_027626975.1	9.534571	8263	7964	71.0	Streptomyces nigrescens	1920	Terrestrial
GCF_027925445.1	4.715351	4327	4213	63.0	Methylocystis bryophila	655015	Plants
GCF_028553805.1	4.621331	4465	4312	61.0	Paracoccus saliphilus	405559	Terrestrial
GCF_028607105.1	4.890578	4444	4354	63.5	Novosphingobium humi	2282397	Terrestrial
GCF_029193595.2	4.598023	4252	4112	40.5	Providencia hangzhouensis	3031799	Mammals: Human
GCF_029318685.1	5.027861	4421	4289	37.0	Ruminiclostridium papyrosolvens DSM 2782	588581	Aquatic
GCF_029909795.1	4.96944	4989	4800	67.5	Paracoccus versutus	34007	Terrestrial
GCF_031191545.1	2.455831	2104	2023	65.0	Schaalia odontolytica	1660	Mammals: Human
GCF_031348265.1	8.867154	8013	7736	71.5	Streptomyces collinus	42684	Terrestrial
GCF_033954835.1	5.41712	4951	4794	60.0	Thiorhodovibrio frisius	631362	Unclassified
GCF_034424545.1	6.589281	5850	5690	64.5	Trinickia caryophylli	28094	Plants
GCF_034479615.1	4.952479	4596	4475	55.0	Vreelandella neptunia	115551	Aquatic
GCF_036323475.1	2.615268	2616	2522	37.0	Solobacterium moorei	102148	Mammals: Human
GCF_036812735.1	4.060596	3965	3814	28.5	Terrisporobacter glycolicus ATCC 14880 = DSM 1288	1121315	Terrestrial
GCF_036885195.1	4.116584	3742	3538	51.0	Pectobacterium cacticida	69221	Plants
GCF_037948395.1	5.464446	5217	5054	59.5	Serratia nevei	2703794	Plants
GCF_040529055.1	5.019584	4260	4163	69.0	Xanthomonas sontii	2650745	Plants
GCF_040739365.1	2.497742	2450	2341	33.0	Staphylococcus capitis subsp. urealyticus	74703	Mammals: Human
GCF_041295575.1	3.298318	3213	3086	39.0	Sporosarcina pasteurii	1474	Terrestrial
GCF_042466515.1	12.213033	10005	9620	71.0	Streptomyces iranensis	576784	Terrestrial
GCF_046844695.1	5.744068	5094	4930	56.0	Pokkaliibacter plantistimulans	1635171	Plants
GCF_048305125.1	6.6774	6371	6268	67.5	Variovorax paradoxus NBRC 15149	1321610	Terrestrial
GCF_900183975.1	4.328441	4104	3311	62.0	Xanthomonas fragariae	48664	Food production
GCF_900186865.1	5.004261	4682	4538	66.0	Stenotrophomonas maltophilia	40324	Mammals: Human
GCF_900187175.1	4.392177	3711	3551	43.5	Odoribacter splanchnicus	28118	Mammals: Human
GCF_900475445.1	2.000351	1965	1853	42.5	Streptococcus cristatus ATCC 51100	889201	Mammals: Human
GCF_900475505.1	2.296927	2254	2140	43.5	Streptococcus sanguinis	1305	Mammals: Human
GCF_900475555.1	2.495693	2341	2227	73.0	Micrococcus luteus NCTC 2665	465515	Mammals: Human
GCF_900475595.1	1.975601	1993	1879	36.5	Streptococcus uberis	1349	Mammals: Human
GCF_900475675.1	1.793521	1828	1639	37.5	Streptococcus lutetiensis	150055	Mammals: Human
GCF_900475975.1	1.932951	1923	1779	37.5	Streptococcus intermedius	1338	Mammals: Human
GCF_900476255.1	2.133352	1794	1698	45.5	Porphyromonas crevioricanis	393921	Mammals
GCF_900537995.1	4.493348	4208	4025	42.5	Roseburia intestinalis L1-82	536231	Mammals: Human
GCF_900560965.1	6.868303	6303	6149	63.5	Pseudomonas protegens CHA0	1124983	Plants
GCF_900636475.1	1.953654	1931	1796	38.5	Streptococcus anginosus	1328	Mammals: Human
GCF_900637025.1	1.931548	1871	1775	41.5	Streptococcus oralis ATCC 35037	655813	Mammals: Human
GCF_900637195.1	6.035584	5754	5656	67.5	Mycolicibacterium aurum	1791	Terrestrial
GCF_900637235.1	2.650496	2583	2463	34.5	Staphylococcus condimenti	70255	Food production
GCF_900637905.1	1.677398	1603	1538	28.5	Parvimonas micra	33033	Mammals: Human
GCF_900638305.1	2.404857	2018	1927	47.5	Porphyromonas cangingivalis	36874	Mammals
GCF_937425535.1	7.423543	6760	6568	68.5	Rhodovastum atsumiense	504468	Terrestrial
GCF_963853645.1	6.63521	5800	5383	65.5	Mycobacterium riyadhense	486698	Mammals: Human
GCF_000006985.1	2.154946	2094	1988	56.5	Chlorobaculum tepidum TLS	194439	Aquatic
GCF_000007745.1	2.314078	2192	2080	42.5	[Mannheimia] succiniciproducens MBEL55E	221988	Mammals
GCF_000010525.1	5.369772	4896	4780	67.5	Azorhizobium caulinodans ORS 571	438753	Plants
GCF_000010985.1	2.542933	2528	2461	30.5	Deferribacter desulfuricans SSM1	639282	Aquatic
GCF_000011385.1	4.659019	4603	4488	62.0	Gloeobacter violaceus PCC 7421	251221	Terrestrial
GCF_000012865.1	2.40152	2537	2448	42.0	Carboxydothermus hydrogenoformans Z-2901	246194	Aquatic
GCF_000012985.1	7.215267	6431	6307	54.0	Hahella chejuensis KCTC 2396	349521	Aquatic
GCF_000014145.1	4.433218	3754	3700	39.0	Cytophaga hutchinsonii ATCC 33406	269798	Aquatic
GCF_000015025.1	2.44354	2216	2143	67.0	Acidothermus cellulolyticus 11B	351607	Aquatic
GCF_000015125.1	3.133902	2840	2713	48.5	Chlorobium phaeobacteroides DSM 266	290317	Aquatic
GCF_000016165.1	3.608104	3649	3495	42.5	Desulforamulus reducens MI-1	349161	Aquatic
GCF_000016985.1	4.929566	5017	4821	37.0	Alkaliphilus metalliredigens QYMF	293826	Wastewater
GCF_000017545.1	1.948941	1876	1805	35.0	Fervidobacterium nodosum Rt17-B1	381764	Aquatic
GCF_000017585.1	1.714951	1690	1607	31.5	Campylobacter hominis ATCC BAA-381	360107	Mammals: Human
GCF_000018325.1	3.123558	3096	2964	36.5	Alkaliphilus oremlandii OhILAs	350688	Aquatic
GCF_000018865.1	5.258541	4137	4027	56.5	Chloroflexus aurantiacus J-10-fl	324602	Aquatic
GCF_000019165.1	3.075407	2877	2698	57.0	Heliomicrobium modesticaldum Ice1	498761	Aquatic
GCF_000019225.1	4.576573	3707	3625	52.0	Cellvibrio japonicus Ueda107	498211	Terrestrial
GCF_000019685.1	1.574881	1574	1414	28.0	Borrelia duttonii Ly	412419	Mammals: Human
GCF_000019705.1	1.242163	1228	1094	27.5	Borrelia recurrentis A1	412418	Mammals: Human
GCF_000019845.1	4.418616	3969	3805	57.0	Beijerinckia indica subsp. indica ATCC 9039	395963	Terrestrial
GCF_000020365.1	5.657782	4984	4869	49.0	Desulforapulum autotrophicum HRM2	177437	Aquatic
GCF_000020465.1	2.763181	2543	2449	51.5	Chlorobium limicola DSM 245	290315	Aquatic
GCF_000020485.1	2.578146	2493	2398	38.0	Halothermothrix orenii H 168	373903	Aquatic
GCF_000020525.1	3.293456	2792	2720	45.0	Chloroherpeton thalassium ATCC 35110	517418	Aquatic
GCF_000020685.1	3.855329	3577	3479	63.0	Deinococcus deserti VCD115	546414	Terrestrial
GCF_000020725.1	4.61515	4131	4012	60.5	Citrifermentans bemidjiense Bem	404380	Terrestrial
GCF_000020945.1	1.424912	1476	1412	45.0	Coprothermobacter proteolyticus DSM 5265	309798	Bioreactor
GCF_000020965.1	1.959987	1950	1881	33.5	Dictyoglomus thermophilum H-6-12	309799	Aquatic
GCF_000021645.1	1.85556	1882	1804	34.0	Dictyoglomus turgidum DSM 6724	515635	Aquatic
GCF_000021945.1	4.684931	3896	3800	56.5	Chloroflexus aggregans DSM 9485	326427	Aquatic
GCF_000022145.1	5.029329	4583	4492	74.5	Anaeromyxobacter dehalogenans 2CP-1	455488	Aquatic
GCF_000022305.1	3.796573	3625	3509	67.0	[Acidovorax] ebreus TPSY	535289	Aquatic
GCF_000022565.1	4.127356	3414	3340	60.5	Acidobacterium capsulatum ATCC 51196	240015	Terrestrial
GCF_000022745.1	3.337369	3250	3094	57.5	Brucella microti CCM 4915	568815	Mammals
GCF_000023105.1	4.669183	4286	4205	73.0	Beutenbergia cavernae DSM 12333	471853	Terrestrial
GCF_000023225.1	3.942657	3538	3454	58.5	Desulfomicrobium baculatum DSM 4028	525897	Terrestrial
GCF_000023245.1	8.248144	7164	6989	73.5	Actinosynnema mirum DSM 43827	446462	Plants
GCF_000023265.1	2.158157	2107	2019	68.5	Acidimicrobium ferrooxidans DSM 10331	525909	Aquatic
GCF_000023445.1	4.289847	3935	3812	47.0	Maridesulfovibrio salexigens DSM 2638	526222	Terrestrial
GCF_000023785.1	3.540114	3241	3178	45.0	Hirschia baltica ATCC 49814	582402	Aquatic
GCF_000023845.1	1.617804	1407	1344	51.0	Cryptobacterium curtum DSM 15641	469378	Mammals: Human
GCF_000023905.1	2.46561	2364	2274	29.5	Leptotrichia buccalis C-1013-b	523794	Mammals: Human
GCF_000024025.1	10.467782	9136	8934	70.0	Catenulispora acidiphila DSM 44928	479433	Terrestrial
GCF_000024085.1	2.852073	2669	2601	43.5	Kangiella koreensis DSM 16069	523791	Aquatic
GCF_000024105.1	1.998633	1915	1828	35.5	Anaerococcus prevotii DSM 20548	525919	Mammals: Human
GCF_000024205.1	4.545624	4411	4188	41.5	Desulfofarcimen acetoxidans DSM 771	485916	Solid waste
GCF_000024225.1	1.543805	1410	1358	45.5	Lancefieldella parvula DSM 20469	521095	Mammals: Human
GCF_000024325.1	2.909567	2538	2463	57.5	Desulfohalobium retbaense DSM 5692	485915	Aquatic
GCF_000024345.1	7.579488	7154	7030	70.5	Kribbella flavida DSM 17836	479435	Terrestrial
GCF_000024465.1	2.753527	2608	2559	49.0	Candidatus Puniceispirillum marinum IMCC1322	488538	Aquatic
GCF_000024605.1	2.157067	2262	2162	59.5	Ammonifex degensii KC4	429009	Aquatic
GCF_000024765.1	2.582886	2416	2334	54.5	Halothiobacillus neapolitanus c2	555778	Wastewater
GCF_000024785.1	5.290012	5003	4736	67.0	Gordonia bronchialis DSM 43247	526226	Mammals: Human
GCF_000024805.1	9.446314	6950	6788	69.5	Haliangium ochraceum DSM 14365	502025	Aquatic
GCF_000025265.1	6.359369	6020	5941	72.5	Conexibacter woesei DSM 14684	469383	Terrestrial
GCF_000025345.1	5.322497	5169	4976	74.0	Geodermatophilus obscurus DSM 43160	526225	Terrestrial
GCF_000025725.1	3.222077	3085	3005	42.5	Denitrovibrio acetiphilus DSM 12809	522772	Terrestrial
GCF_000025885.1	1.980592	1961	1893	45.5	Aminobacterium colombiense DSM 12261	572547	Wastewater
GCF_000025905.1	3.750771	3086	3022	53.5	Coraliomargarita akajimensis DSM 45221	583355	Aquatic
GCF_000025945.1	3.659634	3259	3090	46.5	Desulfotalea psychrophila LSv54	177439	Aquatic
GCF_000026185.1	4.067864	3785	3590	53.5	Erwinia tasmaniensis Et1/99	465817	Plants
GCF_000058485.1	7.497934	6109	5930	73.0	Frankia alni ACN14a	326424	Plants
GCF_000060345.1	3.798465	3479	3403	36.5	Christiangramia forsetii KT0803	411154	Aquatic
GCF_000092125.1	3.721669	3749	3564	62.5	Allomeiothermus silvanus DSM 9946	526227	Aquatic
GCF_000092205.1	3.097763	2737	2646	60.5	Desulfurivibrio alkaliphilus AHT 2	589865	Aquatic
GCF_000092245.1	3.192235	3200	3118	28.5	Arcobacter nitrofigilis DSM 7299	572480	Plants
GCF_000092505.1	2.101787	2151	2046	38.0	Leuconostoc kimchii IMSNU 11154	762051	Food production
GCF_000092845.1	3.241804	2899	2827	28.0	Brachyspira murdochii DSM 12563	526224	Mammals
GCF_000092865.1	4.123179	3770	3684	74.5	Cellulomonas flavigena DSM 20109	446466	Terrestrial
GCF_000092905.1	3.384766	3362	3233	59.0	Kyrpidia tusciae DSM 2912	562970	Aquatic
GCF_000092925.1	4.765023	4578	4477	68.0	Ancylobacter novellus DSM 506	639283	Terrestrial
GCF_000093085.1	3.592487	3409	3263	48.5	[Bacillus] selenitireducens MLS10	439292	Aquatic
GCF_000143965.1	3.655731	3379	3308	65.5	Desulfarculus baarsii DSM 2075	644282	Terrestrial
GCF_000144625.1	4.662871	4341	4198	45.0	[Clostridium] saccharolyticum WM1	610130	Wastewater
GCF_000144695.1	2.469596	2438	2315	36.5	Acetohalobium arabaticum DSM 5501	574087	Aquatic
GCF_000145035.1	4.404886	3936	3842	40.0	Butyrivibrio proteoclasticus B316	515622	Mammals
GCF_000145215.1	2.532343	2411	2273	35.0	Caldicellulosiruptor obsidiansis OB47	608506	Aquatic
GCF_000145255.1	3.162471	2977	2894	53.0	Gallionella capsiferriformans ES-2	395494	Aquatic
GCF_000148645.1	4.279159	3941	3776	60.0	Ferrimonas balearica DSM 9799	550540	Aquatic
GCF_000165465.1	2.309262	2185	2098	30.5	Halanaerobium praevalens DSM 2228	572479	Aquatic
GCF_000165505.1	3.132314	3065	2939	34.5	Ilyobacter polytropus DSM 2926	572544	Terrestrial
GCF_000166335.1	2.428903	2342	2200	35.5	Caldicellulosiruptor owensensis OL	632518	Aquatic
GCF_000166355.1	2.770676	2683	2575	36.0	Caldicellulosiruptor hydrothermalis 108	632292	Aquatic
GCF_000166395.1	4.059653	3622	3517	40.5	Leadbetterella byssophila DSM 17132	649349	Solid waste
GCF_000166695.1	2.802443	2725	2564	36.0	Caldicellulosiruptor acetigenus I77R1B	632335	Aquatic
GCF_000166775.1	2.843785	2642	2504	35.0	Caldicellulosiruptor kronotskyensis 2002	632348	Aquatic
GCF_000175215.2	4.308776	3878	3791	59.5	Asticcacaulis excentricus CB 48	573065	Aquatic
GCF_000176035.2	6.884444	6712	6532	63.0	Mesorhizobium opportunistum WSM2075	536019	Plants
GCF_000177235.2	4.681672	4419	4265	36.5	Evansella cellulosilytica DSM 2522	649639	Terrestrial
GCF_000177535.2	2.601311	2285	2162	57.0	Corynebacterium resistens DSM 45100	662755	Mammals: Human
GCF_000177635.2	2.928377	2658	2584	56.0	Desulfurispirillum indicum S5	653733	Aquatic
GCF_000178115.2	3.008576	2891	2783	55.5	Ethanoligenens harbinense YUAN-3	663278	Wastewater
GCF_000178835.2	4.714237	4395	4221	34.5	Cellulosilyticum lentocellum DSM 5427	642492	Aquatic
GCF_000178955.2	6.237577	4852	4779	58.0	Granulicella mallensis MP5ACTX8	682795	Terrestrial
GCF_000178975.2	5.503984	4744	4635	60.0	Granulicella tundricola MP5ACTX9	1198114	Terrestrial
GCF_000183405.1	2.216552	2184	2118	35.5	Calditerrivibrio nitroreducens DSM 19672	768670	Aquatic
GCF_000183425.1	4.51649	3811	3749	35.5	Marivirga tractuosa DSM 4126	643867	Aquatic
GCF_000186225.1	3.998906	3364	3215	44.5	Bacteroides helcogenes P 36-108	693979	Mammals
GCF_000186265.1	4.888353	4286	4186	34.0	Cellulophaga algicola DSM 14237	688270	Algae
GCF_000186345.1	5.529304	3732	3652	62.5	Isosphaera pallida ATCC 43644	575540	Aquatic
GCF_000186385.1	3.49853	3398	3311	70.0	Deinococcus maricopensis DSM 21211	709986	Terrestrial
GCF_000186885.1	3.851869	3444	3346	59.0	Desulfobulbus propionicus DSM 2032	577650	Terrestrial
GCF_000190555.1	2.886836	2799	2706	65.5	Deinococcus proteolyticus MRP	693977	Mammals
GCF_000191045.1	1.541968	1604	1530	35.0	Desulfurobacterium thermolithotrophum DSM 11699	868864	Aquatic
GCF_000194135.1	1.69443	1800	1701	37.5	Hippea maritima DSM 10411	760142	Aquatic
GCF_000194605.1	4.633577	4078	4016	36.5	Fluviicola taffensis DSM 16823	755732	Aquatic
GCF_000195295.1	3.282536	2979	2898	53.0	Desulfobacca acetoxidans DSM 11109	880072	Wastewater
GCF_000195335.1	2.269167	2292	2191	68.0	Marinithermus hydrothermalis DSM 14884	869210	Aquatic
GCF_000196315.1	2.952962	2720	2668	34.0	Croceibacter atlanticus HTCC2559	216432	Aquatic
GCF_000196455.1	2.715461	2615	2516	33.5	Acetoanaerobium sticklandii	1511	Aquatic
GCF_000199675.1	3.532378	3210	3133	54.0	Anaerolinea thermophila UNI-1	926569	Wastewater
GCF_000200595.1	1.672681	1708	1633	44.5	Helicobacter felis ATCC 49179	936155	Mammals
GCF_000212735.1	8.771651	6852	6757	47.0	Haliscomenobacter hydrossis DSM 1100	760192	Wastewater
GCF_000213255.1	3.135972	3003	2923	43.5	Mahella australiensis 50-1 BON	697281	Terrestrial
GCF_000213655.1	4.972148	4380	4229	43.5	Alteromonas naphthalenivorans	715451	Aquatic
GCF_000214175.1	4.86349	4599	4487	62.0	Hoyosella subflava DQS3-9A1	443218	Terrestrial
GCF_000214215.1	3.89994	3623	3502	44.5	Marinomonas posidonica IVIA-Po-181	491952	Plants
GCF_000214705.1	3.601386	3624	3493	55.0	Desulfofundulus kuznetsovii DSM 6115	760568	Aquatic
GCF_000215085.1	3.969014	4010	3880	47.0	Desulforamulus ruminis DSM 2154	696281	Mammals
GCF_000218545.1	3.526441	3247	3172	74.0	Cellulomonas gilvus ATCC 13127	593907	Mammals
GCF_000218625.1	2.52659	2409	2298	38.5	Flexistipes sinusarabici DSM 4947	717231	Aquatic
GCF_000219725.1	3.23934	2943	2855	45.5	Gracilinema caldarium DSM 7334	744872	Aquatic
GCF_000223215.1	3.308048	2928	2831	27.0	Brachyspira intermedia PWS/A	1045858	Mammals
GCF_000224085.1	3.842422	3443	3379	41.5	Allomuricauda ruestringensis DSM 13258	886377	Aquatic
GCF_000226295.1	3.695372	3103	2996	61.5	Chloracidobacterium thermophilum B	981222	Aquatic
GCF_000226565.1	4.134229	3530	3439	42.5	Brumicola nitratireducens FR1064	1085623	Aquatic
GCF_000230995.2	6.200534	5999	5801	63.0	Mesorhizobium australicum WSM2073	754035	Plants
GCF_000231385.2	4.873567	4588	4407	42.0	Desulfosporosinus meridiei DSM 13257	768704	Aquatic
GCF_000231405.2	3.176073	3128	3001	42.0	Desulfitobacterium metallireducens DSM 15288	871968	Aquatic
GCF_000233715.2	4.855529	4713	4513	45.5	Desulfoscipio gibsoniae DSM 7213	767817	Aquatic
GCF_000235605.1	5.863081	5579	5368	43.0	Desulfosporosinus orientis DSM 765	768706	Terrestrial
GCF_000242255.2	3.603458	3276	3142	63.5	Frateuria aurantia DSM 6220	767434	Plants
GCF_000243155.2	4.321753	4250	4104	45.0	Desulfitobacterium dehalogenans ATCC 51507	756499	Aquatic
GCF_000247605.1	4.044777	3719	3609	39.5	Acetobacterium woodii DSM 1030	931626	Aquatic
GCF_000252445.1	4.406036	4342	4210	69.0	Deinococcus gobiensis I-0	745776	Terrestrial
GCF_000255115.2	4.991181	4726	4572	42.0	Desulfosporosinus acidiphilus SJ4	646529	Terrestrial
GCF_000255135.1	2.244793	2126	2050	29.0	Marinitoga piezophila KA3	443254	Aquatic
GCF_000258405.1	3.658997	3184	3119	34.0	Ignavibacterium album JCM 16511	945713	Aquatic
GCF_000259275.1	1.84779	1783	1650	35.5	Helicobacter cetorum MIT 99-5656	1163745	Mammals
GCF_000263195.1	5.220361	4339	4278	35.5	Emticicia oligotrophica DSM 17448	929562	Aquatic
GCF_000265385.1	3.520671	3219	3157	36.0	Aequorivita sublithincola DSM 14238	746697	Aquatic
GCF_000265405.1	4.196595	3825	3730	37.0	Belliella baltica DSM 15883	866536	Aquatic
GCF_000265505.1	4.919337	4096	4004	30.5	Bernardetia litoralis DSM 6794	880071	Aquatic
GCF_000266945.1	6.527027	5397	5302	50.0	Desulfomonile tiedjei DSM 6799	706587	Wastewater
GCF_000269985.1	8.783278	7713	7487	74.0	Kitasatospora setae KM-6054	452652	Terrestrial
GCF_000279145.1	3.300414	2952	2874	41.5	Melioribacter roseus P3M-2	1191523	Unclassified
GCF_000281175.1	5.144873	4154	4067	59.0	Caldilinea aerophila DSM 14535 = NBRC 104270	926550	Aquatic
GCF_000284335.1	1.558103	1574	1515	35.5	Caldisericum exile AZM16c01	511051	Aquatic
GCF_000284515.1	4.170008	4127	4007	42.0	Halobacillus halophilus DSM 2266	866895	Terrestrial
GCF_000299355.1	3.108248	3086	2937	30.0	Gottschalkia acidurici 9a	1128398	Terrestrial
GCF_000306675.2	4.216282	3689	3398	39.5	Leptospira mayottensis 200901116	1192864	Mammals: Human
GCF_000307105.1	5.197905	4606	4483	41.5	Desulfobacula toluolica Tol2	651182	Aquatic
GCF_000307165.1	2.569486	2481	2355	35.5	Amphibacillus xylanus NBRC 15112	698758	Solid waste
GCF_000316515.1	3.342364	3427	3326	68.5	Cyanobium gracile PCC 6307	292564	Aquatic
GCF_000317125.1	6.689401	6242	6046	44.5	Chroococcidiopsis thermalis PCC 7203	251229	Terrestrial
GCF_000317515.1	7.96651	6804	6543	46.0	Allocoleopsis franciscana PCC 7113	1173027	Terrestrial
GCF_000317615.1	3.781008	3830	3721	42.5	Dactylococcopsis salina PCC 8305	13035	Aquatic
GCF_000317695.1	7.063285	6196	5947	39.0	Anabaena cylindrica PCC 7122	272123	Aquatic
GCF_000317835.1	4.513714	4455	4324	63.5	Deinococcus peraridilitoris DSM 19664	937777	Terrestrial
GCF_000328625.1	2.649255	2629	2506	32.5	Halobacteroides halobius DSM 5150	748449	Aquatic
GCF_000341345.1	3.222008	2971	2873	68.5	Corynebacterium halotolerans YIM 70093 = DSM 44683	1121362	Terrestrial
GCF_000341355.1	1.59649	1382	1303	42.0	Bartonella australis AUST/NH1	1094489	Mammals
GCF_000341395.1	4.023512	3614	3528	45.5	Desulfocapsa sulfexigens DSM 10523	1167006	Aquatic
GCF_000344805.1	8.264165	7278	7144	65.0	Bradyrhizobium oligotrophicum S58	1245469	Terrestrial
GCF_000348785.1	4.830181	4306	4235	67.5	Ilumatobacter coccineus YM16-304	1313172	Terrestrial
GCF_000418365.1	2.751233	2473	2376	67.0	Corynebacterium terpenotabidum Y-11	1200352	Terrestrial
GCF_000455605.1	2.993089	2787	2700	31.5	Flavobacterium indicum GPTSA100-9 = DSM 17447	1094466	Aquatic
GCF_000493735.1	2.497115	2403	2268	35.0	Carnobacterium inhibens subsp. gilichinskyi	1266845	Terrestrial
GCF_000503895.1	3.653837	3440	3336	64.0	Hyphomicrobium nitrativorans NL23	1029756	Aquatic
GCF_000511355.1	4.650996	4578	4310	62.5	Leisingera methylohalidivorans DSM 14336	999552	Aquatic
GCF_000512915.1	3.076856	2564	2456	51.5	Barnesiella viscericola DSM 18177	880074	Birds
GCF_000521505.1	4.764126	4396	4296	54.0	Advenella mimigardefordensis DPN7	1247726	Solid waste
GCF_000525635.1	9.874926	8932	8760	70.5	Kutzneria albida DSM 43870	1449976	Terrestrial
GCF_000550785.1	3.132213	2884	2749	55.5	Corynebacterium casei LMG S-19264	1285583	Food production
GCF_000550805.1	2.93178	2688	2580	65.5	Corynebacterium vitaeruminis DSM 20294	1224164	Mammals
GCF_000590555.1	2.031902	1937	1831	59.0	Corynebacterium argentoratense DSM 44202	1348662	Mammals: Human
GCF_000724625.1	5.231762	4737	4650	61.0	Fimbriimonas ginsengisoli Gsoil 348	661478	Terrestrial
GCF_000739085.1	7.237391	7495	7116	71.5	Amycolatopsis methanolica 239	1068978	Terrestrial
