accession	genome_size_mb	genes_total_num	genes_protein_num	gc_percent	organism_taxId	organism_name	environment	gene_density
GCF_000186885.1	3.851869	3444	3346	59.0	577650	Desulfobulbus propionicus DSM 2032	Terrestrial	894.11
GCF_000190555.1	2.886836	2799	2706	65.5	693977	Deinococcus proteolyticus MRP	Mammals	969.57
GCF_000191045.1	1.541968	1604	1530	35.0	868864	Desulfurobacterium thermolithotrophum DSM 11699	Aquatic	1040.23
GCF_000194135.1	1.69443	1800	1701	37.5	760142	Hippea maritima DSM 10411	Aquatic	1062.3
GCF_000194605.1	4.633577	4078	4016	36.5	755732	Fluviicola taffensis DSM 16823	Aquatic	880.1
GCF_000195295.1	3.282536	2979	2898	53.0	880072	Desulfobacca acetoxidans DSM 11109	Wastewater	907.53
GCF_000195315.1	2.115681	1853	1785	60.5	700015	Coriobacterium glomerans PW2	Arthropoda: Insects	875.84
GCF_000195335.1	2.269167	2292	2191	68.0	869210	Marinithermus hydrothermalis DSM 14884	Aquatic	1010.06
GCF_000196315.1	2.952962	2720	2668	34.0	216432	Croceibacter atlanticus HTCC2559	Aquatic	921.11
GCF_000196455.1	2.715461	2615	2516	33.5	1511	Acetoanaerobium sticklandii	Aquatic	963.0
GCF_000199675.1	3.532378	3210	3133	54.0	926569	Anaerolinea thermophila UNI-1	Wastewater	908.74
GCF_000200595.1	1.672681	1708	1633	44.5	936155	Helicobacter felis ATCC 49179	Mammals	1021.12
GCF_000212735.1	8.771651	6852	6757	47.0	760192	Haliscomenobacter hydrossis DSM 1100	Wastewater	781.15
GCF_000213255.1	3.135972	3003	2923	43.5	697281	Mahella australiensis 50-1 BON	Terrestrial	957.6
GCF_000213655.1	4.972148	4380	4229	43.5	715451	Alteromonas naphthalenivorans	Aquatic	880.91
GCF_000214175.1	4.86349	4599	4487	62.0	443218	Hoyosella subflava DQS3-9A1	Terrestrial	945.62
GCF_000214215.1	3.89994	3623	3502	44.5	491952	Marinomonas posidonica IVIA-Po-181	Plants	928.99
GCF_000214355.1	3.855671	3468	3388	50.0	545695	Leadbettera azotonutricia ZAS-9	Arthropoda: Insects	899.45
GCF_000214435.1	2.892255	2879	2735	46.5	868595	Desulfotomaculum nigrificans CO-1-SRB	Industrial production	995.42
GCF_000214705.1	3.601386	3624	3493	55.0	760568	Desulfofundulus kuznetsovii DSM 6115	Aquatic	1006.28
GCF_000215085.1	3.969014	4010	3880	47.0	696281	Desulforamulus ruminis DSM 2154	Mammals	1010.33
GCF_000218545.1	3.526441	3247	3172	74.0	593907	Cellulomonas gilvus ATCC 13127	Mammals	920.76
GCF_000218625.1	2.52659	2409	2298	38.5	717231	Flexistipes sinusarabici DSM 4947	Aquatic	953.46
GCF_000219725.1	3.23934	2943	2855	45.5	744872	Gracilinema caldarium DSM 7334	Aquatic	908.52
GCF_000222305.1	1.403443	1452	1340	28.5	521010	Borreliella bissettiae DN127	Arthropoda: Chelicerates	1034.6
GCF_000222485.1	6.221273	5010	4936	38.0	880070	Cyclobacterium marinum DSM 745	Fish	805.3
GCF_000223215.1	3.308048	2928	2831	27.0	1045858	Brachyspira intermedia PWS/A	Mammals	885.11
GCF_000224005.2	3.779112	3339	3228	68.0	765910	Marichromatium purpuratum 984	Porifera	883.54
GCF_000224085.1	3.842422	3443	3379	41.5	886377	Allomuricauda ruestringensis DSM 13258	Aquatic	896.05
GCF_000226295.1	3.695372	3103	2996	61.5	981222	Chloracidobacterium thermophilum B	Aquatic	839.7
GCF_000226565.1	4.134229	3530	3439	42.5	1085623	Brumicola nitratireducens FR1064	Aquatic	853.85
GCF_000230995.2	6.200534	5999	5801	63.0	754035	Mesorhizobium australicum WSM2073	Plants	967.5
GCF_000231385.2	4.873567	4588	4407	42.0	768704	Desulfosporosinus meridiei DSM 13257	Aquatic	941.4
GCF_000231405.2	3.176073	3128	3001	42.0	871968	Desulfitobacterium metallireducens DSM 15288	Aquatic	984.86
GCF_000233715.2	4.855529	4713	4513	45.5	767817	Desulfoscipio gibsoniae DSM 7213	Aquatic	970.65
GCF_000235605.1	5.863081	5579	5368	43.0	768706	Desulfosporosinus orientis DSM 765	Terrestrial	951.55
GCF_000242255.2	3.603458	3276	3142	63.5	767434	Frateuria aurantia DSM 6220	Plants	909.13
GCF_000243155.2	4.321753	4250	4104	45.0	756499	Desulfitobacterium dehalogenans ATCC 51507	Aquatic	983.4
GCF_000247605.1	4.044777	3719	3609	39.5	931626	Acetobacterium woodii DSM 1030	Aquatic	919.46
GCF_000252445.1	4.406036	4342	4210	69.0	745776	Deinococcus gobiensis I-0	Terrestrial	985.47
GCF_000255115.2	4.991181	4726	4572	42.0	646529	Desulfosporosinus acidiphilus SJ4	Terrestrial	946.87
GCF_000255135.1	2.244793	2126	2050	29.0	443254	Marinitoga piezophila KA3	Aquatic	947.08
GCF_000258405.1	3.658997	3184	3119	34.0	945713	Ignavibacterium album JCM 16511	Aquatic	870.18
GCF_000259275.1	1.84779	1783	1650	35.5	1163745	Helicobacter cetorum MIT 99-5656	Mammals	964.94
GCF_000263195.1	5.220361	4339	4278	35.5	929562	Emticicia oligotrophica DSM 17448	Aquatic	831.17
GCF_000265385.1	3.520671	3219	3157	36.0	746697	Aequorivita sublithincola DSM 14238	Aquatic	914.31
GCF_000265405.1	4.196595	3825	3730	37.0	866536	Belliella baltica DSM 15883	Aquatic	911.45
GCF_000265505.1	4.919337	4096	4004	30.5	880071	Bernardetia litoralis DSM 6794	Aquatic	832.63
GCF_000266945.1	6.527027	5397	5302	50.0	706587	Desulfomonile tiedjei DSM 6799	Wastewater	826.87
GCF_000269985.1	8.783278	7713	7487	74.0	452652	Kitasatospora setae KM-6054	Terrestrial	878.15
GCF_000279145.1	3.300414	2952	2874	41.5	1191523	Melioribacter roseus P3M-2	Unclassified	894.43
GCF_000281175.1	5.144873	4154	4067	59.0	926550	Caldilinea aerophila DSM 14535 = NBRC 104270	Aquatic	807.41
GCF_000284335.1	1.558103	1574	1515	35.5	511051	Caldisericum exile AZM16c01	Aquatic	1010.2
GCF_000284515.1	4.170008	4127	4007	42.0	866895	Halobacillus halophilus DSM 2266	Terrestrial	989.69
GCF_000299355.1	3.108248	3086	2937	30.0	1128398	Gottschalkia acidurici 9a	Terrestrial	992.84
GCF_000306675.2	4.216282	3689	3398	39.5	1192864	Leptospira mayottensis 200901116	Mammals: Human	874.94
GCF_000307105.1	5.197905	4606	4483	41.5	651182	Desulfobacula toluolica Tol2	Aquatic	886.13
GCF_000307165.1	2.569486	2481	2355	35.5	698758	Amphibacillus xylanus NBRC 15112	Solid waste	965.56
GCF_000316515.1	3.342364	3427	3326	68.5	292564	Cyanobium gracile PCC 6307	Aquatic	1025.32
GCF_000317125.1	6.689401	6242	6046	44.5	251229	Chroococcidiopsis thermalis PCC 7203	Terrestrial	933.12
GCF_000317515.1	7.96651	6804	6543	46.0	1173027	Allocoleopsis franciscana PCC 7113	Terrestrial	854.08
GCF_000317615.1	3.781008	3830	3721	42.5	13035	Dactylococcopsis salina PCC 8305	Aquatic	1012.96
GCF_000317695.1	7.063285	6196	5947	39.0	272123	Anabaena cylindrica PCC 7122	Aquatic	877.21
GCF_000317835.1	4.513714	4455	4324	63.5	937777	Deinococcus peraridilitoris DSM 19664	Terrestrial	986.99
GCF_000328625.1	2.649255	2629	2506	32.5	748449	Halobacteroides halobius DSM 5150	Aquatic	992.35
GCF_000341345.1	3.222008	2971	2873	68.5	1121362	Corynebacterium halotolerans YIM 70093 = DSM 44683	Terrestrial	922.1
GCF_000341355.1	1.59649	1382	1303	42.0	1094489	Bartonella australis AUST/NH1	Mammals	865.65
GCF_000341395.1	4.023512	3614	3528	45.5	1167006	Desulfocapsa sulfexigens DSM 10523	Aquatic	898.22
GCF_000344805.1	8.264165	7278	7144	65.0	1245469	Bradyrhizobium oligotrophicum S58	Terrestrial	880.67
GCF_000348785.1	4.830181	4306	4235	67.5	1313172	Ilumatobacter coccineus YM16-304	Terrestrial	891.48
GCF_000402035.1	6.964487	6448	6314	63.0	758793	Caballeronia insecticola	Arthropoda: Insects	925.84
GCF_000418365.1	2.751233	2473	2376	67.0	1200352	Corynebacterium terpenotabidum Y-11	Terrestrial	898.87
GCF_000442645.1	2.833547	2679	2582	66.5	1224163	Corynebacterium maris DSM 45190	Invertebrates	945.46
GCF_000455605.1	2.993089	2787	2700	31.5	1094466	Flavobacterium indicum GPTSA100-9 = DSM 17447	Aquatic	931.15
GCF_000493735.1	2.497115	2403	2268	35.0	1266845	Carnobacterium inhibens subsp. gilichinskyi	Terrestrial	962.31
GCF_000494755.1	9.376071	8768	8595	70.5	1246995	Actinoplanes friuliensis DSM 7358		935.15
GCF_000503895.1	3.653837	3440	3336	64.0	1029756	Hyphomicrobium nitrativorans NL23	Aquatic	941.48
GCF_000511355.1	4.650996	4578	4310	62.5	999552	Leisingera methylohalidivorans DSM 14336	Aquatic	984.31
GCF_000512915.1	3.076856	2564	2456	51.5	880074	Barnesiella viscericola DSM 18177	Birds	833.32
GCF_000520015.2	5.488183	4977	4763	51.0	1441930	Chania multitudinisentens RB-25		906.86
GCF_000521505.1	4.764126	4396	4296	54.0	1247726	Advenella mimigardefordensis DPN7	Solid waste	922.73
GCF_000525635.1	9.874926	8932	8760	70.5	1449976	Kutzneria albida DSM 43870	Terrestrial	904.51
GCF_000550785.1	3.132213	2884	2749	55.5	1285583	Corynebacterium casei LMG S-19264	Food production	920.75
GCF_000550805.1	2.93178	2688	2580	65.5	1224164	Corynebacterium vitaeruminis DSM 20294	Mammals	916.85
GCF_000590555.1	2.031902	1937	1831	59.0	1348662	Corynebacterium argentoratense DSM 44202	Mammals: Human	953.29
GCF_000600105.1	4.662822	4622	4440	37.0	1145276	Lysinibacillus varians		991.25
GCF_000723165.1	5.949001	5293	5123	61.0	1349767	Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628	Fungi	889.73
GCF_000724625.1	5.231762	4737	4650	61.0	661478	Fimbriimonas ginsengisoli Gsoil 348	Terrestrial	905.43
GCF_000736415.1	1.754638	1852	1777	35.5	1244531	Campylobacter iguaniorum		1055.49
GCF_000737865.1	1.755151	1432	1357	60.5	1687	Bifidobacterium coryneforme	Arthropoda: Insects	815.88
GCF_000739085.1	7.237391	7495	7116	71.5	1068978	Amycolatopsis methanolica 239	Terrestrial	1035.59
GCF_000743945.1	1.959069	1705	1644	40.5	1072685	Basilea psittacipulmonis DSM 24701	Birds	870.31
GCF_000767055.1	2.698995	2671	2552	67.0	558173	Corynebacterium doosanense CAU 212 = DSM 45436	Wastewater	989.63
GCF_000785105.2	2.09586	2058	1959	40.0	1138822	Lentilactobacillus curieae		981.94
GCF_000816185.1	1.465081	1533	1449	28.0	1031564	Campylobacter insulaenigrae NCTC 12927	Mammals	1046.36
GCF_000816305.1	1.852995	1944	1838	30.0	1388752	Campylobacter subantarcticus LMG 24377		1049.11
GCF_000833575.1	2.830519	2649	2540	60.0	161899	Corynebacterium singulare	Mammals: Human	935.87
GCF_000835165.1	2.729219	2626	2516	68.0	1224162	Corynebacterium marinum DSM 44953	Aquatic	962.18
GCF_000953135.1	4.43489	3782	3671	38.5	1212491	Legionella fallonii LLAP-10	Air	852.78
GCF_000959365.1	7.135022	6403	6139	67.0	441162	Burkholderia oklahomensis C6786	Mammals	897.4
GCF_000968055.1	1.554229	1503	1447	29.0	1318466	Alteracholeplasma palmae J233	Plants	967.04
GCF_000980835.1	2.354065	2144	2048	46.5	35755	Corynebacterium kutscheri	Mammals	910.76
GCF_001017435.1	6.476147	5616	5477	67.5	413882	Caldimonas brevitalea		867.18
GCF_001189295.1	11.388132	8313	8148	68.5	52	Chondromyces crocatus	Terrestrial	729.97
GCF_001190745.1	2.281652	2243	2143	46.5	824	Campylobacter gracilis		983.06
GCF_001263205.1	12.191466	10684	10489	66.0	1391654	Labilithrix luteola	Terrestrial	876.35
GCF_001263395.1	1.83006	1523	1435	62.5	1437605	Bifidobacterium actinocoloniiforme DSM 22766		832.21
GCF_001267925.1	4.965474	4594	4464	61.0	1262470	Herbaspirillum hiltneri N3	Plants	925.19
GCF_001275365.1	1.516676	1502	1168	31.5	1086726	Francisella persica ATCC VR-331	Arthropoda: Chelicerates	990.32
GCF_001277255.1	4.499482	4248	4067	56.0	1073999	Cronobacter condimenti 1330	Food production	944.11
GCF_001281385.1	1.714148	1762	1709	37.5	1125411	Candidatus Pseudothioglobus singularis PS1		1027.92
GCF_001293165.1	1.512449	1660	1612	39.0	1705394	Candidatus Thioglobus autotrophicus		1097.56
GCF_001305575.3	4.265317	3660	3571	40.5	288004	Beggiatoa leptomitoformis		858.08
GCF_001431725.1	4.757486	4165	4067	58.5	1178482	Halomonas huangheensis	Terrestrial	875.46
GCF_001513745.1	7.287809	6632	6248	67.0	430531	Burkholderia humptydooensis	Aquatic	910.01
GCF_001543175.1	1.974262	1808	1724	42.5	1376	Aerococcus urinae		915.79
GCF_001553625.1	2.783374	2670	2517	59.0	888061	Desulfomicrobium orale DSM 12838	Mammals: Human	959.27
GCF_001561955.1	3.120417	3023	2899	39.0	991789	Anaerotignum propionicum DSM 1682	Aquatic	968.78
GCF_001602095.1	1.829936	1777	1683	40.0	1591088	Helicobacter himalayensis	Mammals	971.07
GCF_001618865.1	7.480314	6305	6153	67.0	1855912	Luteitalea pratensis	Terrestrial	842.88
GCF_001632775.1	4.446619	3653	3568	70.5	1300342	Dokdonella koreensis DS-123	Terrestrial	821.52
GCF_001636295.1	3.826972	3501	3418	74.0	1300344	Isoptericola dokdonensis DS-3	Terrestrial	914.82
GCF_001653755.1	3.293944	2934	2868	38.0	1300343	Dokdonia donghaensis DSW-1	Aquatic	890.73
GCF_001663155.1	2.673978	2596	2540	57.0	476157	Altererythrobacter ishigakiensis	Aquatic	970.84
GCF_001693385.1	8.322773	7924	7614	62.0	1274631	Bradyrhizobium icense	Plants	952.09
GCF_001693515.2	8.377719	7949	7677	62.5	190148	Bradyrhizobium paxllaeri	Plants	948.83
GCF_001701025.1	9.997872	9914	9504	70.0	1586287	Lentzea guizhouensis	Terrestrial	991.61
GCF_001741865.1	6.713548	6342	6197	65.5	1526658	Bosea vaviloviae		944.66
GCF_001761465.1	4.402594	3551	3458	35.0	1492737	Flavobacterium gilvum		806.57
GCF_001854225.1	1.424506	1398	1347	52.0	535712	Candidatus Rhodoluna planktonica	Aquatic	981.39
GCF_001886815.1	4.978541	3882	3810	45.0	880073	Caldithrix abyssi DSM 13497	Aquatic	779.75
GCF_001936255.1	1.04269	986	933	29.5	1365188	Borrelia anserina Es		945.63
GCF_001941485.1	2.604152	2264	2172	71.5	1437875	Corynebacterium frankenforstense DSM 45800	Food production	869.38
GCF_001941825.1	7.523017	6724	6477	65.5	1141883	Massilia putida	Terrestrial	893.79
GCF_001945665.1	1.311545	1331	1208	28.0	1674146	Borreliella mayonii	Mammals: Human	1014.83
GCF_001983935.1	8.920478	6384	6254	56.0	1891926	Fuerstiella marisgermanici		715.66
GCF_001989575.1	1.745789	1813	1719	34.0	1817405	Abyssicoccus albus	Aquatic	1038.5
GCF_002005405.1	2.116498	2112	1978	37.5	708126	Jeotgalibaca dankookensis		997.87
GCF_002104335.1	1.937768	1926	1837	31.0	1121267	Campylobacter cuniculorum DSM 23162 = LMG 24588	Mammals	993.93
GCF_002157225.2	7.113812	5888	5772	41.0	1737490	Agarilytica rhodophyticola	Aquatic	827.69
GCF_002215215.1	7.783862	6762	6642	53.0	1192854	Granulosicoccus antarcticus IMCC3135		868.72
GCF_002222595.2	3.065949	3075	2936	39.0	537007	Blautia hansenii DSM 20583	Mammals: Human	1002.95
GCF_002238335.1	1.738633	1798	1719	34.0	522484	Campylobacter avium LMG 24591	Birds	1034.15
GCF_002266435.3	7.02593	6583	6502	64.5	1404768	Bradyrhizobium amphicarpaeae	Plants	936.96
GCF_002269385.1	4.639957	4158	4082	39.5	1178778	Maribacter cobaltidurans		896.13
GCF_002285495.1	2.869927	2787	2645	29.0	182773	Clostridium isatidis		971.1
GCF_002305855.1	9.910441	8223	8068	68.5	1294270	Melittangium boletus DSM 14713	Terrestrial	829.73
GCF_002355535.1	1.622386	1621	1570	53.0	708131	Aurantimicrobium minutum		999.15
GCF_002813775.1	7.738984	6752	6561	66.0	1166950	Candidatus Thiodictyon syntrophicum		872.47
GCF_002838765.1	2.65301	2482	2415	44.0	1561924	Kangiella profundi	Aquatic	935.54
GCF_002863865.1	4.914503	4229	4133	51.0	1917421	Ketobacter alkanivorans	Aquatic	860.51
GCF_002896855.1	4.731216	4118	3979	41.5	84032	Clostridium thermosuccinogenes	Food production	870.39
GCF_003019675.1	3.537675	3318	3220	30.5	861	Fusobacterium ulcerans		937.9
GCF_003019695.1	1.678881	1676	1592	32.5	469615	Fusobacterium gonidiaformans ATCC 25563	Mammals: Human	998.28
GCF_003076455.1	4.621116	3822	3708	35.0	1355330	Flavobacterium faecale	Birds	827.07
GCF_003096075.1	3.911842	3685	3532	71.0	546160	Dietzia lutea	Terrestrial	942.01
GCF_003290445.1	2.054094	1975	1899	32.5	2007306	Francisella adeliensis	Unclassified	961.49
GCF_003312875.1	9.121443	8555	8395	70.5	1804986	Amycolatopsis albispora	Aquatic	937.9
GCF_003330725.1	7.600726	6456	6244	57.0	2211140	Acidisarcina polymorpha	Terrestrial	849.39
GCF_003346775.1	3.037595	3014	2926	26.5	1032238	Malaciobacter mytili LMG 24559	Mollusca	992.23
GCF_003355515.1	1.915613	1979	1911	28.0	1032241	Aliarcobacter trophiarum LMG 25534	Mammals	1033.09
GCF_003544935.1	2.800582	2795	2709	26.0	870501	Malaciobacter molluscorum LMG 25693	Mollusca	998.01
GCF_003574215.1	2.28878	2242	2145	61.5	297	Hydrogenophilus thermoluteolus		979.56
GCF_003574315.2	7.645051	6675	6534	60.5	2219043	Capsulimonas corticalis		873.11
GCF_003589925.1	8.241389	6775	6705	51.0	2321403	Chryseolinea soli	Terrestrial	822.07
GCF_003721225.2	2.887944	2869	2759	61.5	1867749	Acidithiobacillus sulfuriphilus	Terrestrial	993.44
GCF_003815775.1	4.890621	4518	4389	35.5	112234	Chryseobacterium joostei	Food production	923.81
GCF_003991135.1	3.557532	3303	3101	36.0	1323375	Anoxybacter fermentans	Aquatic	928.45
GCF_003999255.1	2.905633	2846	2687	35.0	1222016	Caldicellulosiruptor changbaiensis	Aquatic	979.48
GCF_004014775.2	3.15318	2962	2820	53.0	2500548	Acetobacter oryzoeni	Food production	939.37
GCF_004014855.1	3.293048	2945	2885	32.0	2500547	Apibacter raozihei	Mammals	894.31
GCF_004114915.1	8.200121	7837	7573	64.0	1325115	Bradyrhizobium guangxiense		955.72
GCF_004114935.1	9.342022	8838	8421	63.0	1325107	Bradyrhizobium zhanjiangense	Plants	946.05
GCF_004114955.1	8.138177	7709	7479	63.5	1325095	Bradyrhizobium guangzhouense	Plants	947.26
GCF_004208415.1	11.340617	9811	9595	52.0	2509675	Ktedonosporobacter rubrisoli	Terrestrial	865.12
GCF_004214815.1	1.91508	1985	1913	27.0	1032240	Aliarcobacter thereius LMG 24486	Mammals	1036.51
GCF_004295585.1	7.059027	6223	6066	45.0	2507935	Cohnella abietis		881.57
GCF_004299785.2	2.018219	2099	2033	27.0	1935204	Arcobacter porcinus	Mammals	1040.03
GCF_005083985.2	1.871566	2041	1966	34.0	1424653	Caminibacter pacificus	Aquatic	1090.53
GCF_005116655.2	6.751878	5608	5446	44.5	2569541	Desulfosediminicola flagellatus	Aquatic	830.58
GCF_005377625.1	3.365583	3043	2911	59.5	980445	Desulfoglaeba alkanexedens ALDC	Wastewater	904.15
GCF_005843985.1	1.685887	1818	1746	27.0	391592	Caminibacter mediatlanticus TB-2	Aquatic	1078.36
GCF_006542645.1	3.507492	2980	2888	58.0	2585117	Alistipes onderdonkii subsp. vulgaris	Mammals: Human	849.61
GCF_006542665.1	3.301347	2738	2654	58.5	2585118	Alistipes communis	Mammals: Human	829.36
GCF_006740045.1	4.673011	4246	4084	65.0	1219032	Comamonas terrigena NBRC 13299	Biotransformation	908.62
GCF_007747655.1	9.00774	6932	6814	58.0	2528021	Anatilimnocola aggregata		769.56
GCF_007747795.1	7.744989	5762	5679	63.5	2528026	Maioricimonas rarisocia		743.96
GCF_007748055.1	7.613473	5632	5533	62.0	2527975	Kolteria novifilia		739.74
GCF_007748095.1	6.94502	5204	5110	70.5	2528011	Engelhardtia mirabilis		749.31
GCF_007751035.1	9.565229	7184	7012	61.5	2528010	Lignipirellula cremea		751.05
GCF_007752135.1	8.439957	6049	5921	55.5	2527968	Aureliella helgolandensis		716.71
GCF_007858975.2	4.317154	3902	3721	52.5	568768	Dickeya poaceiphila	Plants	903.84
GCF_007990525.1	2.604381	2550	2464	30.5	157688	Leptotrichia hofstadii		979.12
GCF_008087625.1	10.526296	7854	7674	71.0	406548	Aquisphaera giovannonii		746.13
GCF_008245045.1	1.532062	1595	1503	28.5	1031542	Campylobacter volucris		1041.08
GCF_008247605.1	3.624619	3393	3299	59.0	657387	Kushneria phosphatilytica	Terrestrial	936.1
GCF_008254045.1	9.378099	8229	7998	65.5	2598579	Limnoglobus roseus	Aquatic	877.47
GCF_008327825.1	2.161166	2039	1958	29.5	157691	Leptotrichia shahii	Mammals: Human	943.47
GCF_008369785.1	2.062281	2029	1963	33.0	2249302	Francisella marina	Unclassified	983.86
GCF_009026825.1	2.351892	2093	2000	60.0	2487892	Corynebacterium urogenitale	Unclassified	889.92
GCF_009177095.1	6.922258	5503	5412	61.5	2650471	Lacipirellula parvula		794.97
GCF_009193325.2	5.320612	4276	4084	42.5	2650157	Bacteroides zhangwenhongii	Mammals: Human	803.67
GCF_009688945.1	7.324708	6457	6332	56.5	571177	Desulfosarcina alkanivorans	Aquatic	881.54
GCF_009688965.1	7.297718	6707	6576	54.0	947919	Desulfosarcina widdelii		919.05
GCF_009688985.1	8.41353	7401	7260	53.5	885957	Desulfosarcina ovata subsp. sediminis		879.65
GCF_009720525.1	8.027492	6302	6129	52.5	2608982	Gimesia benthica	Aquatic	785.05
GCF_009720625.1	5.602542	5481	5139	36.0	2567941	Metabacillus sediminilitoris	Aquatic	978.31
GCF_009762775.1	7.81131	6322	6246	38.5	2681766	Maribellus comscasis	Unclassified	809.34
GCF_009910365.1	3.095392	2847	2781	51.5	2518989	Aequoribacter fuscus	Aquatic	919.75
GCF_010093065.1	7.969925	6279	6161	46.0	2703787	Chitinophaga agri	Plants	787.84
GCF_010537335.1	2.488096	2492	2388	34.0	2583452	Amedibacterium intestinale		1001.57
GCF_011455495.1	2.136304	2050	1960	42.5	123824	Frederiksenia canicola	Mammals	959.6
GCF_011455875.1	2.253194	2102	2002	42.5	653940	Basfia succiniciproducens	Mammals	932.9
GCF_011516645.4	10.410654	10015	9393	63.5	1404411	Bradyrhizobium septentrionale	Plants	962.0
GCF_012113595.1	6.782182	5162	5021	43.0	2715212	Bacteroides faecium	Mammals: Human	761.11
GCF_012222965.1	1.750491	1636	1546	32.0	1085647	Allofrancisella inopinata	Aquatic	934.59
GCF_012295615.1	3.550395	3305	3238	44.0	207949	Bermanella marisrubri	Aquatic	930.88
GCF_012849095.1	8.522788	7232	7024	50.5	2728023	Cohnella herbarum	Terrestrial	848.55
GCF_012913305.1	3.664154	3723	3479	69.5	1709002	Aerophototrophica crusticola	Terrestrial	1016.06
GCF_013128195.2	9.857393	8173	7910	67.5	2774151	Frigoriglobus tundricola	Terrestrial	829.12
GCF_013177655.1	1.923009	1904	1806	27.5	449520	Campylobacter canadensis		990.11
GCF_013201605.1	1.64493	1687	1599	29.0	1848766	Campylobacter ornithocola	Birds	1025.58
GCF_013201645.1	1.694495	1790	1724	32.0	1448857	Campylobacter corcagiensis	Unclassified	1056.36
GCF_013201705.1	2.448998	2456	2362	27.0	1564138	Aliarcobacter faecis	Mammals: Human	1002.86
GCF_013201725.1	3.02124	3032	2945	26.5	873191	Arcobacter defluvii		1003.56
GCF_013201895.1	1.891678	1895	1823	29.5	2042961	Campylobacter blaseri	Mammals	1001.76
GCF_013284055.1	3.428786	3212	3079	48.0	2739061	Deefgea piscis	Fish	936.77
GCF_013315815.1	1.989979	1953	1858	50.5	2666138	Caproicibacterium lactatifermentans	Food production	981.42
GCF_013372105.1	1.642612	1679	1595	28.5	2505970	Campylobacter armoricus	Aquatic	1022.15
GCF_013372205.1	1.773478	1870	1787	36.5	202	Campylobacter mucosalis	Mammals	1054.43
GCF_013372265.1	2.336659	2349	2258	27.0	255507	Aliarcobacter cibarius		1005.28
GCF_013376475.1	4.155851	3656	3567	64.0	2773299	Desulfolutivibrio sulfoxidireducens	Bioreactor	879.72
GCF_013388295.1	1.659117	1403	1291	37.0	52764	Bartonella alsatica	Mammals	845.63
GCF_014041935.1	5.184113	4646	4516	67.5	2758710	Gordonia jinghuaiqii		896.2
GCF_014041995.1	2.661583	2313	2213	58.0	2758440	Changpingibacter yushuensis	Aquatic	869.03
GCF_014054725.1	2.205122	2169	2075	50.5	153493	Conchiformibius steedae		983.62
GCF_014054985.1	2.420532	2637	2526	54.5	505	Kingella oralis		1089.43
GCF_014075995.1	6.935613	5407	5308	41.0	2745197	Adhaeribacter radiodurans	Plants	779.6
GCF_014541205.1	2.155161	2136	2039	40.0	2770636	Mannheimia bovis	Unclassified	991.11
GCF_015097275.1	4.171466	3304	3184	38.5	2751153	Coprobacter secundus subsp. similis	Mammals: Human	792.05
GCF_015624505.1	7.622528	7187	7078	64.0	83627	Bradyrhizobium commune	Plants	942.86
GCF_015689335.1	7.432405	6532	6322	64.0	2765360	Massilia antarctica	Aquatic	878.85
GCF_016127355.1	2.220058	2293	2191	54.0	502	Kingella denitrificans	Mammals: Human	1032.86
GCF_016127495.1	2.783568	2697	2570	71.5	1276	Kytococcus sedentarius		968.9
GCF_016613535.2	3.933292	3499	3240	69.0	2763317	Agrilutibacter solisilvae	Terrestrial	889.59
GCF_016725245.1	2.54353	2535	2430	32.5	71237	Mammaliicoccus vitulinus	Food production	996.65
GCF_016756395.1	8.972903	7445	7207	73.5	659352	Actinacidiphila reveromycinica		829.72
GCF_016767175.1	2.307997	2279	2195	29.5	1278232	Keratinibaculum paraultunense	Terrestrial	987.44
GCF_016865425.1	7.426695	6799	6500	73.0	227318	Actinocatenispora thailandica		915.48
GCF_017377355.1	6.908045	5931	5816	38.5	45656	Desulfonema limicola	Aquatic	858.56
GCF_017377395.1	8.027777	6174	6064	45.0	45655	Desulfonema magnum		769.08
GCF_017868935.1	4.572976	4294	4182	64.0	2846777	Billgrantia antri	Aquatic	938.99
GCF_018324105.1	3.399245	3227	3066	45.0	202951	Acinetobacter bouvetii		949.33
GCF_018324205.1	9.897806	9119	8922	71.5	122358	Actinoplanes ianthinogenes		921.32
GCF_018324385.1	2.572603	2497	2433	60.5	1682490	Ferrigenium kumadai	Terrestrial	970.61
GCF_018324685.1	7.044238	6607	6411	72.5	390989	Actinocatenispora sera		937.93
GCF_018885265.1	7.657695	7118	6941	70.0	2842453	Amycolatopsis aidingensis	Terrestrial	929.52
GCF_019063885.1	4.829642	4250	4155	61.5	2843197	Geomonas diazotrophica	Terrestrial	879.98
GCF_019175365.1	8.979594	7960	7776	72.5	2750812	Actinomadura graeca	Terrestrial	886.45
GCF_019670105.1	4.792255	4344	4216	44.0	182262	Agarivorans albus		906.46
GCF_019904175.1	11.959907	10803	10568	72.5	53362	Dactylosporangium vinaceum	Terrestrial	903.27
GCF_020091585.1	8.564336	8277	7861	49.5	2653194	Kovacikia minuta CCNUW1	Aquatic	966.45
GCF_020099275.1	2.677377	2349	2259	63.0	108486	Corynebacterium falsenii		877.35
GCF_020162295.1	2.432066	2389	2280	46.5	1120981	Alysiella filiformis DSM 16848	Mammals	982.29
GCF_020386615.1	7.663439	5758	5683	47.5	2849666	Chitinophaga pendula	Aquatic	751.36
